layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.00203877839116752,-0.0018582372175668844,0.002038442579821239,-0.001384906655136381,3.3581134628113754e-07,-0.00047333056243050353
4,1.0,0.003420588154846573,-0.002828577402530117,0.004007680781605944,-0.002751613144784002,-0.0005870926267593705,-7.696425774611493e-05
4,1.5,0.005240904036965921,-0.0047035712625106115,0.005579468538546008,-0.004069742599878835,-0.0003385645015800869,-0.0006338286626317762
5,-1.0,0.0029925166561350198,0.0013682827661481388,0.0028185950844315916,0.000642459626924656,0.00017392157170342815,0.0007258231392234828
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,-0.0014335112871219288,-0.0011731099000640056,-0.002461282046758428,-0.0005817565726239995,0.001027770759636499,-0.0005913533274400061
5,1.0,-0.0034312803901249064,-0.0022430653000541875,-0.0038202628334050998,-0.0018976135915217153,0.0003889824432801933,-0.00034545170853247215
5,1.5,-0.004540546615842342,-0.0037903643032575437,-0.006021409083225964,-0.002497523014704073,0.0014808624673836217,-0.001292841288553471
6,-1.0,0.007537290436439169,0.0051174053660223385,0.00832764208448246,0.004677488521239406,-0.0007903516480432917,0.00043991684478293224
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,-0.004201896330605019,-0.003437487669987261,-0.003833869951450672,-0.003376084624363828,-0.00036802637915434727,-6.140304562343279e-05
6,1.0,-0.008073719640020524,-0.007435708873683088,-0.008064063784574286,-0.006505854218244379,-9.655855446238926e-06,-0.0009298546554387084
6,1.5,-0.010983863761597767,-0.011490016263693352,-0.012280885021417448,-0.010682308023398436,0.0012970212598196803,-0.0008077082402949166
7,-1.0,0.004670240276828434,0.0007045029060905941,0.00638490356566767,0.0002535274846668656,-0.0017146632888392355,0.00045097542142372854
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5,-0.002398006567957046,-0.0009396254794057438,-0.0028274862712148394,-0.00029913924360744126,0.00042947970325779355,-0.0006404862357983025
7,1.0,-0.0037951694446192153,-0.0019003132756330056,-0.005980402703006198,-0.0012852921280505105,0.0021852332583869824,-0.0006150211475824952
7,1.5,-0.00520980991358088,-0.0030220302324105303,-0.008863366079690104,-0.0019472535460639008,0.003653556166109224,-0.0010747766863466294
8,-1.0,-0.0030886406023612665,0.001183712470687823,-0.004272370450098109,0.001591028595970811,0.0011837298477368426,-0.000407316125282988
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5,0.0015614879483585194,-0.0008251344939276123,0.0021478088693201287,-0.0008959713824478627,-0.0005863209209616093,7.083688852025044e-05
8,1.0,0.004488239257684111,-0.0018469837854985678,0.003956604271860696,-0.0016471279380643352,0.0005316349858234147,-0.00019985584743423268
8,1.5,0.005867636994641057,-0.002420673631798797,0.007046981422664367,-0.002450591267762534,-0.00117934442802331,2.9917635963737366e-05
9,-1.0,-0.0035285599730141928,-0.004483944556547388,-0.003774413659900088,-0.0038363378638520684,0.00024585368688589525,-0.0006476066926953197
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5,0.0024913532922068667,0.0011841280312801378,0.0027544137800197426,0.0009686327542030235,-0.0002630604878128759,0.0002154952770771143
9,1.0,0.004203766684051792,0.0018915428442934576,0.005760064702712846,0.001010526658597408,-0.0015562980186610538,0.0008810161856960496
9,1.5,0.00711532141824348,0.001727079054741426,0.009058390740402428,0.00070808730768526,-0.0019430693221589483,0.001018991747056166
10,-1.0,-0.0018671537028444526,0.0011999046581812889,-0.0012443508609904137,0.001047677469023324,-0.0006228028418540389,0.0001522271891579649
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.5,-0.000414555015885755,-0.0006941001720812828,-0.0005974883116697435,-0.0004594149694867368,0.00018293329578398848,-0.000234685202594546
10,1.0,-0.0016151504561613035,-0.0012221167095865515,-0.0021027063332224407,-0.000872557813224116,0.00048755587706113723,-0.0003495588963624355
10,1.5,-0.0037095285891501606,-0.0018589338938973313,-0.0051598690537473305,-0.0011587904544458464,0.0014503404645971698,-0.0007001434394514848
11,-1.0,0.0003471030255022707,0.0007168423212092767,0.0006920003467041613,0.0006095953531761131,-0.0003448973212018906,0.00010724696803316358
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5,0.000280335557711379,-0.0004913396917671809,-0.00016393217202938007,-0.00035376769103606886,0.00044426772974075907,-0.00013757200073111203
11,1.0,0.0002264504791683978,-0.00110315875198518,-0.0015335770548023213,-0.0007473901745534047,0.0017600275339707191,-0.00035576857743177526
11,1.5,-0.0011632807924163273,-0.0012177363992177416,-0.002767346523370587,-0.0008165170189035851,0.0016040657309542596,-0.00040121938031415655
12,-1.0,-0.0006562377462517749,0.00045058181233748285,-5.912799064561556e-05,0.00011993233490001827,-0.0005971097556061594,0.0003306494774374646
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5,0.0010073734587557708,-0.0002991245834301747,0.0009566788144542357,-0.00041835314170247706,5.0694644301535084e-05,0.00011922855827230239
12,1.0,0.00147953067242679,-0.0006482486781962069,0.0013428862215662436,-0.0006268937833183325,0.00013664445086054638,-2.1354894877874397e-05
12,1.5,0.0024393592807239878,-0.0012459559885466289,0.002140345632817208,-0.001276070613301504,0.00029901364790677976,3.0114624754875143e-05
