id,component,orig_Ev,Ev_unembed,Ev_l27,Ev_l27_random,wd_inst,wd_unembed,wd_l27,wd_l27_random,delta_Ev_unembed,delta_Ev_l27,delta_Ev_l27_random,delta_WD_unembed,delta_WD_l27,delta_WD_l27_random
B-loathing-d3-v1,attn_14,2.615234375,2.251953125,2.6328125,2.638671875,1.8805413641405555,2.24400249831655,1.8628327776585656,1.856740119635604,-0.36328125,0.017578125,0.0234375,0.36346113417599435,-0.01770858648198992,-0.02380124450495158
B-amazement-d1-v2,attn_14,6.0546875,6.26953125,6.0625,6.06640625,1.304417807759631,1.6393708871596433,1.3131946164791832,1.3166000429421183,0.21484375,0.0078125,0.01171875,0.3349530794000124,0.008776808719552331,0.0121822351824874
B-amazement-d3-v1,attn_14,7.69921875,7.72265625,7.6953125,7.6953125,2.0759541910517685,2.1619272505177864,2.0762566483671785,2.076170042266227,0.0234375,-0.00390625,-0.00390625,0.08597305946601796,0.00030245731541000964,0.0002158512144583291
B-vigilance-d1-v1,attn_14,4.35546875,4.0234375,4.3671875,4.3671875,0.7521598953635,1.0898411120116656,0.7528422513835449,0.7496655196158195,-0.33203125,0.01171875,0.01171875,0.3376812166481655,0.0006823560200448497,-0.0024943757476805217
B-vigilance-d3-v2,attn_14,4.0234375,3.654296875,4.0390625,4.04296875,0.886146119454474,1.282222244156237,0.8859062720814708,0.8828056395169368,-0.369140625,0.015625,0.01953125,0.396076124701763,-0.00023984737300319914,-0.0033404799375371663
Bm-grief-d1-v1,attn_14,5.8828125,6.21875,5.88671875,5.89453125,0.8384173731317909,1.166067520997485,0.8383621578886911,0.8429692499189363,0.3359375,0.00390625,0.01171875,0.327650147865694,-5.52152430998154e-05,0.004551876787145415
Bm-grief-d2-v1,attn_14,3.033203125,2.689453125,3.041015625,3.046875,0.9817722061068461,1.3652563563576077,0.9820736912754202,0.9760069375992206,-0.34375,0.0078125,0.013671875,0.38348415025076155,0.00030148516857408936,-0.005765268507625487
Bm-grief-d3-v1,attn_14,5.54296875,5.671875,5.54296875,5.546875,1.0454911905656843,1.1586179986197607,1.0435752230860915,1.043052670695998,0.12890625,0.0,0.00390625,0.11312680805407638,-0.0019159674795927728,-0.002438519869686351
Bm-terror-d2-v1,attn_14,5.2734375,5.30078125,5.2734375,5.27734375,1.0194060454202645,1.0398234466909253,1.0172562890958419,1.0218311994999147,0.02734375,0.0,0.00390625,0.02041740127066083,-0.0021497563244226026,0.0024251540796502713
Bm-ecstasy-d2-v1,attn_14,5.6328125,5.91015625,5.6328125,5.640625,1.1989097507379678,1.5494427338987897,1.202803258861418,1.2075892940986797,0.27734375,0.0,0.0078125,0.35053298316082193,0.003893508123450129,0.008679543360711861
Bm-loathing-d3-v1,attn_14,1.998046875,1.8251953125,2.0078125,2.005859375,1.6048530256568623,1.7784187002040488,1.5941938663389825,1.5979637653595384,-0.1728515625,0.009765625,0.0078125,0.17356567454718652,-0.010659159317879752,-0.00688926029732384
Bm-amazement-d1-v2,attn_14,7.29296875,7.25390625,7.29296875,7.29296875,1.5978297552835814,1.671261518071599,1.597244168735451,1.5958172591322715,-0.0390625,0.0,0.0,0.07343176278801766,-0.0005855865481303457,-0.0020124961513099393
Bm-amazement-d3-v1,attn_14,5.74609375,5.92578125,5.75390625,5.75390625,1.0085849257002484,1.2910150977531836,1.018740960644766,1.015937567626561,0.1796875,0.0078125,0.0078125,0.2824301720529352,0.010156034944517556,0.007352641926312575
Bm-vigilance-d1-v1,attn_14,5.81640625,6.08203125,5.8203125,5.81640625,1.1429910447733191,1.466332333983834,1.1476188559699025,1.1465855820232396,0.265625,0.00390625,0.0,0.32334128921051475,0.004627811196583398,0.0035945372499204264
Bm-vigilance-d3-v2,attn_14,4.89453125,4.67578125,4.890625,4.89453125,0.7767114963009526,0.731933270283992,0.7725960370304492,0.7659141555834525,-0.21875,-0.00390625,0.0,-0.044778226016960576,-0.0041154592705033854,-0.010797340717500048
N-grief-d1-c1,attn_14,6.48046875,6.70703125,6.48828125,6.484375,1.4010193604616306,1.7135954868994325,1.4096288146760478,1.4077988909028396,0.2265625,0.0078125,0.00390625,0.31257612643780197,0.008609454214417278,0.006779530441209047
N-grief-d2-c1,attn_14,6.4609375,6.6953125,6.4609375,6.46875,1.4365799955616874,1.7859318351507436,1.4362292247557602,1.439236296893562,0.234375,0.0,0.0078125,0.34935183958905625,-0.0003507708059271586,0.0026563013318745554
N-grief-d3-c1,attn_14,6.81640625,6.9296875,6.8203125,6.8203125,1.3854496861857397,1.6103810437275272,1.3887368470016013,1.3865524384398793,0.11328125,0.00390625,0.00390625,0.2249313575417875,0.003287160815861556,0.0011027522541395829
N-terror-d2-c1,attn_14,6.66796875,6.86328125,6.66796875,6.671875,1.0477793928305497,1.4273821347888753,1.0552191996478455,1.0511685742068693,0.1953125,0.0,0.00390625,0.37960274195832566,0.007439806817295835,0.0033891813763196055
