family,alignment,format_condition,task,pair_id,layer,relative_depth,c_v,c_a,c_v_zero,c_a_zero
llama,base,plain,reader,pair_307,0,0.0,0.00015318910379846784,0.0005060596024524244,0.019297932134595186,0.005234222689775692
llama,base,plain,reader,pair_309,0,0.0,0.0001555863853335282,0.00020461078664801846,0.013610245272539068,0.002970792523592003
llama,base,plain,reader,pair_310,0,0.0,0.0008404338990715132,0.00012659870289954966,0.018228953746858956,0.005142748970578204
llama,base,plain,reader,pair_312,0,0.0,0.00044795939039232735,0.00010726853900067113,0.01835579191314274,0.006711282889849457
llama,base,plain,reader,pair_314,0,0.0,0.0005783677853425928,0.00030698131385964444,0.01973499734543971,0.0062599404810796955
llama,base,plain,reader,pair_318,0,0.0,0.00040967813109116236,0.00022776238378607871,0.017065714166665913,0.004788926354348355
llama,base,plain,reader,pair_319,0,0.0,0.000973992874442331,0.00039039434577858856,0.01784278122494598,0.006024352696327284
llama,base,plain,reader,pair_321,0,0.0,4.9562109207812455e-05,0.00026045309361499847,0.018737698959524707,0.009008605266471292
llama,base,plain,reader,pair_327,0,0.0,0.0010831933941775063,0.0002617428481235251,0.01776177367666598,0.006459047088941183
llama,base,plain,reader,pair_328,0,0.0,0.0002682314434778732,0.0013124162076376678,0.0228671073898834,0.0066795442536022875
llama,base,plain,reader,pair_332,0,0.0,0.00030410146418180517,0.0003229265749506993,0.018051823281593826,0.0084183623918479
llama,base,plain,reader,pair_346,0,0.0,0.0008715535196541779,0.0007252841011791133,0.023526955387674242,0.008537867109716935
llama,base,plain,reader,pair_351,0,0.0,0.0008159138227803453,1.0369272347432457e-05,0.014282405058752445,0.005634151608279403
llama,base,plain,reader,pair_355,0,0.0,0.0005873217275196296,0.00011558327978455907,0.022979947014220237,0.00806807395529674
llama,base,plain,reader,pair_361,0,0.0,0.00019749162356408334,4.393759736487368e-05,0.015178726890878735,0.005442682941295907
llama,base,plain,reader,pair_363,0,0.0,0.0005178756969899112,0.0001186724808803774,0.015979187100390035,0.005429662148300984
llama,base,plain,reader,pair_365,0,0.0,0.00010687229811789933,0.000784269898625567,0.01956915901816192,0.008025328242577068
llama,base,plain,reader,pair_370,0,0.0,0.0003762121203862989,0.0002666582354065028,0.017366148559591288,0.008461951962092762
llama,base,plain,reader,pair_371,0,0.0,0.000791601625717675,4.344962167301958e-05,0.020253616528415286,0.006613640754251193
llama,base,plain,reader,pair_377,0,0.0,0.0003057472791487825,6.85839086926876e-05,0.020623930058385476,0.00845149895044095
llama,base,plain,reader,pair_382,0,0.0,0.0010146350678592597,0.0006787522579925209,0.02506147744983611,0.010332436408673651
llama,base,plain,reader,pair_408,0,0.0,0.00045029627277148876,2.49884782155263e-05,0.026618485648557844,0.011742239410458488
llama,base,plain,reader,pair_411,0,0.0,0.0007174744176126069,2.25639614850337e-05,0.019290836796679756,0.006315652754500967
llama,base,plain,reader,pair_425,0,0.0,0.0009741982800965943,2.097543340440211e-05,0.02263956557824809,0.0089475164717161
llama,base,plain,reader,pair_429,0,0.0,6.513513977868257e-05,0.0004520160569994047,0.015571173760052126,0.006273900909327779
llama,base,plain,reader,pair_432,0,0.0,0.00022351009558363444,0.0003070017959876381,0.014324079398800649,0.00696057480229495
llama,base,plain,reader,pair_436,0,0.0,0.0018135350872734435,0.0002938026317682585,0.026975458569667765,0.011179533262130725
llama,base,plain,reader,pair_439,0,0.0,0.0005047421217856396,0.0004450147287577977,0.021008079260830037,0.0077626555629644045
llama,base,plain,reader,pair_445,0,0.0,0.00011754359534954517,0.00021477057508612063,0.021992002040939873,0.009477718322677298
llama,base,plain,reader,pair_451,0,0.0,0.000568346675362541,0.0006362927684486763,0.01792213338119808,0.006199939320843839
llama,base,plain,reader,pair_462,0,0.0,0.0005098252543591641,0.0003294624351699582,0.019271640135925416,0.006680186839306046
llama,base,plain,reader,pair_479,0,0.0,0.0005983900522075203,0.0008891870264466917,0.022472084834864958,0.008629783740831343
llama,base,plain,reader,pair_486,0,0.0,0.00015416617223440454,0.0006301743033887419,0.01981925838964127,0.00884364612628108
llama,base,plain,reader,pair_493,0,0.0,0.00024152845263269995,0.00026287837204019837,0.020953484434593328,0.007090011039267985
llama,base,plain,reader,pair_494,0,0.0,0.0004479335472877821,0.00013528178128652257,0.01618123912541769,0.006644503021070669
llama,base,plain,reader,pair_499,0,0.0,0.0008625718814565531,1.5928678617882497e-05,0.01921154966872418,0.008459918845230341
llama,base,plain,reader,pair_513,0,0.0,0.0003663149795061216,0.00045907767748154527,0.01809659663077756,0.005350608666276457
llama,base,plain,reader,pair_521,0,0.0,0.0006745687973817027,0.0009354020183494072,0.018717252838674092,0.006396296164116855
llama,base,plain,reader,pair_522,0,0.0,0.0003188634414170721,0.0009864845493403607,0.01796864817750876,0.006405989535406498
llama,base,plain,reader,pair_526,0,0.0,0.0003216185714842723,0.0008064532648512923,0.023894215795230878,0.008976129073674954
llama,base,plain,reader,pair_527,0,0.0,0.0001800627009176381,0.0001284723163825774,0.02461897272905933,0.009644697439698646
llama,base,plain,reader,pair_528,0,0.0,0.00013324334219078082,0.0009149207889924682,0.013270639194026934,0.00597475949709203
llama,base,plain,reader,pair_529,0,0.0,0.0003350856674613212,0.00035829100493600663,0.027281695715285714,0.011826428464363659
llama,base,plain,reader,pair_534,0,0.0,0.00018954543540772306,0.00020839157063967662,0.02295549101046035,0.007298968221871149
llama,base,plain,reader,pair_542,0,0.0,0.0003621449542832167,0.0003856352160882537,0.019322155694788457,0.006779567267031439
llama,base,plain,reader,pair_543,0,0.0,0.0004912499701017481,0.00055550694257267,0.02138653521550271,0.009505105180955375
llama,base,plain,reader,pair_548,0,0.0,0.00048781278945941864,0.00042928114188622857,0.017965057861933253,0.00657355103433499
llama,base,plain,reader,pair_549,0,0.0,5.367613434614782e-06,0.00042095451820145513,0.02285090081607155,0.01005526181834071
llama,base,plain,reader,pair_554,0,0.0,0.00030221155322074367,0.0004190478383119256,0.016903947393948293,0.006785223168542132
llama,base,plain,reader,pair_559,0,0.0,0.00022666358482137383,0.0004815583116402067,0.01755753368627566,0.006814037479664137
llama,base,plain,reader,pair_570,0,0.0,0.00016258930411972017,0.0001384728904101351,0.022124187227049674,0.008017746920293334
llama,base,plain,reader,pair_578,0,0.0,0.0002021207975069217,7.096097765124654e-05,0.01532414355892886,0.004921605086467551
llama,base,plain,reader,pair_583,0,0.0,9.258229267672391e-06,0.000498990453633219,0.014710985720776115,0.006333900355340205
llama,base,plain,reader,pair_584,0,0.0,0.0004995050407421431,9.389352435817955e-05,0.014585678434312577,0.0048469087524356524
llama,base,plain,reader,pair_589,0,0.0,0.0011983217454840656,0.0001630602289770522,0.015929161511829548,0.00550575243097029
llama,base,plain,reader,pair_590,0,0.0,0.0001354355627265491,0.00030555782131802545,0.01430381098043565,0.0040726453326476175
llama,base,plain,reader,pair_595,0,0.0,0.0018700444712722586,0.00014715380920904408,0.017154854220057025,0.008061581631504389
llama,base,plain,reader,pair_599,0,0.0,0.0005148671131136595,0.0014584669698427533,0.016272612780916518,0.00606944531314646
llama,base,plain,reader,pair_601,0,0.0,0.0019915931529261854,0.0006543743966265225,0.012416751893670863,0.005586785795299143
llama,base,plain,reader,pair_604,0,0.0,0.00042883747123578786,0.00019723550102046516,0.015976183080391948,0.005102192879291145
llama,base,plain,reader,pair_613,0,0.0,0.0005475114729467379,0.00032402805141273916,0.014495898590000778,0.004368408959763315
llama,base,plain,reader,pair_617,0,0.0,0.001012549010064312,5.624120573344271e-05,0.01467347221331039,0.006903164885743607
llama,base,plain,reader,pair_621,0,0.0,0.00021817808057367216,0.00015439383925741623,0.01813046906514426,0.005990995574713054
llama,base,plain,reader,pair_626,0,0.0,0.0003285188846442466,0.000275510465035822,0.021575134044204525,0.006889022612782014
llama,base,plain,reader,pair_635,0,0.0,0.0013364348882527466,0.00038900249651607766,0.018819537629280347,0.006447928348963572
llama,base,plain,reader,pair_636,0,0.0,0.001159242903018054,0.0007044102507922645,0.02095012474468394,0.010478380105311658
llama,base,plain,reader,pair_643,0,0.0,5.585221098325377e-05,0.000834570855982264,0.022549942956153757,0.009299734695956019
llama,base,plain,reader,pair_644,0,0.0,2.3478281174327265e-05,4.854008982757563e-05,0.018348662806948468,0.006310314383178195
llama,base,plain,reader,pair_649,0,0.0,0.0008369928223119771,0.0003105252486488297,0.0182978623156691,0.006636257083870056
llama,base,plain,reader,pair_650,0,0.0,0.00047402897094084295,0.0006148702804900097,0.017598544971894725,0.006793534878804408
llama,base,plain,reader,pair_652,0,0.0,0.0009549673671740422,0.00030335406483938954,0.018036343330022575,0.004398670982365793
llama,base,plain,reader,pair_656,0,0.0,0.00040165550838722197,0.0001471558891221747,0.01576751117528108,0.005032689514032462
llama,base,plain,reader,pair_660,0,0.0,0.00031590277652870924,0.0001058874598598436,0.023260688330389634,0.008669556928277977
llama,base,plain,reader,pair_662,0,0.0,0.00012099321833325405,0.00010278331911717231,0.019441427706033743,0.008167624307092503
llama,base,plain,reader,pair_668,0,0.0,0.00021135087417079035,0.0007678873406540276,0.017866480440503096,0.006541283940658005
llama,base,plain,reader,pair_670,0,0.0,0.00015190520038554922,0.00024388760197346926,0.02610139672289513,0.009928967954081713
llama,base,plain,reader,pair_677,0,0.0,0.00019439387742092862,0.000687607666864487,0.01631293616706042,0.003526658261578497
llama,base,plain,reader,pair_678,0,0.0,0.0005038141016768805,0.0004928804511381557,0.02254697337984446,0.00855960559196145
llama,base,plain,reader,pair_679,0,0.0,0.0007292932013802655,0.00023660517651435953,0.021609901556713496,0.007871398183582734
llama,base,plain,reader,pair_687,0,0.0,0.0004848265419488129,0.0004888446161377402,0.018663387473005777,0.0064487791070027
llama,base,plain,reader,pair_689,0,0.0,0.00017755119240803197,0.0004496109516614055,0.01822780024063242,0.0052886628719068796
llama,base,plain,reader,pair_692,0,0.0,0.00034076166932983654,0.00047011597780510783,0.019140344806898746,0.008020418317419953
llama,base,plain,reader,pair_697,0,0.0,0.0008066516244920052,0.00016466658152225477,0.02355362258196525,0.009201232178390306
llama,base,plain,reader,pair_713,0,0.0,0.0011670370121530382,0.00015329781918183016,0.0144773923873176,0.0037547056791975564
llama,base,plain,reader,pair_714,0,0.0,0.0011692880516660509,0.00035393265662797546,0.02047298438984857,0.007940583751318897
llama,base,plain,reader,pair_716,0,0.0,0.0003624115273757056,0.0006686751855475848,0.01794427907999996,0.007874777458106053
llama,base,plain,reader,pair_721,0,0.0,0.0005415512507367382,0.0005588544447379107,0.018380514731275,0.00563556638167384
llama,base,plain,reader,pair_737,0,0.0,0.00039272483905961053,0.00021422261896919537,0.01703629821019259,0.009111907541460518
llama,base,plain,reader,pair_740,0,0.0,0.00090126452871786,0.0001541953919987904,0.02033216915100322,0.009336196809567099
llama,base,plain,reader,pair_741,0,0.0,0.0007450419701893196,0.0005805702411763036,0.01720370573212815,0.005902503644041879
llama,base,plain,reader,pair_749,0,0.0,0.00017249466216551212,0.00047639934438059583,0.015570413014181383,0.00430729385665618
llama,base,plain,reader,pair_753,0,0.0,0.0003834714260113614,0.0006944126036589893,0.013325533676129986,0.004300334071945855
llama,base,plain,reader,pair_761,0,0.0,0.0005386082793963354,0.0005514409990601266,0.02163444356039701,0.009509393740350092
llama,base,plain,reader,pair_764,0,0.0,0.0005825502139193972,0.0013592338447310226,0.01594527760469333,0.006336018711086133
