r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,direct_transfer_score,rsa_correlation,r2_aligned_transfer,geometry_pattern,is_held_out,layer,relative_depth,target
-1.4831615258749795,-1.7095100664201235,-1.976004485241234,-2.3493732734041957,0.0,0.47612139713109763,-1.5202179376610774,Operational: Task-Divergent Geometry,True,17,0.68,Arousal_human
-1.3376235269473802,-1.21706063000225,-1.5034887906381824,-1.725360753658102,0.0,0.4463029925984145,-1.2784300670901318,Operational: Task-Divergent Geometry,True,18,0.72,Valence_human
-1.1502855150955766,-1.6730249724737298,-1.5537707552676903,-2.2658470760094405,0.0,0.4463029925984145,-1.3524124349678468,Operational: Task-Divergent Geometry,True,18,0.72,Arousal_human
-1.1550616443832191,-1.4482285957136893,-1.2626781820727793,-2.1461324545170983,0.0,0.4131755144396828,-1.193546265039929,Operational: Task-Divergent Geometry,True,19,0.76,Valence_human
-1.4226486271895182,-1.5847914115247725,-1.8269130531405473,-2.5533877623363677,0.0,0.4131755144396828,-1.280396098379267,Operational: Task-Divergent Geometry,True,19,0.76,Arousal_human
-1.0099363186995913,-1.317328857949553,-1.1855060298871694,-2.3092687415510587,0.0,0.4172352273638271,-1.0411138796780515,Operational: Task-Divergent Geometry,True,20,0.8,Valence_human
-1.4801870876720016,-1.6317552660728256,-1.8826506070150124,-2.3405311550715706,0.0,0.4172352273638271,-1.3856372285442413,Operational: Task-Divergent Geometry,True,20,0.8,Arousal_human
-1.0487790495428215,-1.1627271267370465,-1.1615383549835259,-1.9721237785065,0.0,0.4195814537073053,-1.0157340772206336,Operational: Task-Divergent Geometry,True,21,0.84,Valence_human
-1.7021658684023833,-1.6980516805112695,-1.9171710681925505,-2.390515901726482,0.0,0.4195814537073053,-1.4177441962619652,Operational: Task-Divergent Geometry,True,21,0.84,Arousal_human
-1.1152880706673454,-1.2012616697450507,-1.3338088527224854,-1.9097771113124593,0.0,0.4270940245450562,-1.1084274603097137,Operational: Task-Divergent Geometry,True,22,0.88,Valence_human
-1.7525744736325954,-1.9040623663102538,-1.9290799407509494,-2.5662861917544264,0.0,0.4270940245450562,-1.5946694981208047,Operational: Task-Divergent Geometry,True,22,0.88,Arousal_human
-1.2714965548374333,-1.509161939587225,-1.487826037211792,-2.039678119756972,0.0,0.4332043694957834,-1.2584122256081822,Operational: Task-Divergent Geometry,True,23,0.92,Valence_human
-1.9069704058030785,-2.023517008616363,-2.438813303715192,-3.4412933386647264,0.0,0.4332043694957834,-1.7474774454668776,Operational: Task-Divergent Geometry,True,23,0.92,Arousal_human
-1.1805731576769012,-1.5915165405092506,-1.483460241161208,-2.21453161363776,0.0,0.4426745461277126,-1.3157708942725472,Operational: Task-Divergent Geometry,True,24,0.96,Valence_human
-2.1046549505963004,-2.178134262628214,-2.818469236204732,-4.0990585231276855,0.0,0.4426745461277126,-1.894226166723945,Operational: Task-Divergent Geometry,True,24,0.96,Arousal_human
-1.0463580819357832,-1.246574915209794,-1.1455370635432978,-2.2409990682292187,0.0,0.4704849824124624,-0.8834242977830711,Operational: Task-Divergent Geometry,True,25,1.0,Valence_human
-1.597607138648471,-1.5394793140175707,-1.9382112054477285,-3.0727862501351497,0.0,0.4704849824124624,-1.4544227864160648,Operational: Task-Divergent Geometry,True,25,1.0,Arousal_human
