layer,direction,UB_V,UB_A,UB_WC,r2_direct,ibc_V_direct,ibc_A_direct,ibc_WC_direct,r2_ortho,ibc_V_ortho,ibc_A_ortho,ibc_WC_ortho,r2_ridge,ibc_V_ridge,ibc_A_ridge,ibc_WC_ridge
20,Base2Inst,-0.12477307832771756,-0.13943705484713934,0.9157977270635391,-83.1508560180664,-0.17448319008987934,-0.22222232073046191,0.6736046706987925,-0.11702193319797516,-0.012537219561554697,-0.22283959160605082,0.8657905271356519,0.4258853793144226,-0.1067710269824296,-0.17150839719641825,0.8799915970834628
20,Inst2Base,-0.010522330510279185,0.19959809180733817,0.8511881051721781,-66.87796783447266,-0.059298664981005285,0.15057863627728962,0.7653541202796481,0.09772554785013199,-0.0962083845724485,0.2413064348347945,0.8902597910684829,0.4314960539340973,-0.09617590985840106,0.2221918089011652,0.9057556633924364
21,Base2Inst,-0.3404567670293985,-0.2096346210999727,0.9004856040016163,-76.1483383178711,-0.07961942111947498,-0.2546874953107113,0.7018963502930484,-4.226408004760742,-0.0017026912965610154,-0.24682869478378552,0.791684255440137,0.47194379568099976,-0.19510398844076574,-0.27452931296058125,0.8403245002275299
21,Inst2Base,-0.05069495377814254,0.1734700468572567,0.8318513019922223,-61.96778869628906,-0.45556621525489577,-0.03780681381859729,0.7650276202842954,-3.268617630004883,-0.3169789997257798,0.1573979712103098,0.8709806213374827,0.3920077085494995,-0.1897438118090008,0.1510555016180064,0.8951564245618204
22,Base2Inst,-0.3146763532855943,-0.21326457670561605,0.9070108403080674,-66.59062194824219,-0.08003027774393957,-0.31364100055489474,0.7343850773028117,-2.052800416946411,0.06043351618603478,-0.19991736193467916,0.752702819687161,0.45538026094436646,-0.12365096075725439,-0.2498387581600212,0.8028309268978077
22,Inst2Base,-0.014961674887417047,0.17311032617496377,0.7873720638563908,-52.32506561279297,-0.4119721489746362,-0.05451219518948812,0.7368761063601007,-1.4063621759414673,-0.28371318419808655,0.13571734887156914,0.8567118083041306,0.34015804529190063,-0.08865126529330428,0.1763532765127201,0.9023730298194705
23,Base2Inst,-0.3332481970506748,-0.23780461694316102,0.9053511387544394,-64.20804595947266,-0.08844256748426617,-0.2339052430131896,0.6127701779201862,-2.8889353275299072,0.04883276501720215,-0.17164323994657327,0.6904351306273884,0.45113909244537354,-0.09785423071289931,-0.25693699231978934,0.7818050654532323
23,Inst2Base,-0.023982206735058735,0.17782012310433357,0.7581319858049086,-48.918678283691406,-0.40314464332705435,-0.0747297268189353,0.7164282179396816,-1.9728283882141113,-0.2996098152542801,0.10378160266234078,0.8433140077236982,0.3192566931247711,-0.0767484630209352,0.16020232746090057,0.8946144351907468
24,Base2Inst,-0.35284285540143573,-0.24732201227528403,0.9053180004465613,-60.479183197021484,-0.03354547906963449,-0.16974945387002227,0.5780197484974017,-2.128082275390625,0.04688072175106644,-0.10809621004913716,0.5929836303954413,0.45669662952423096,-0.16443848861360705,-0.27073393998752815,0.7727501137931174
24,Inst2Base,-0.02862988223401692,0.20008107487246743,0.7494479465712959,-48.43168258666992,-0.3751894973022635,-0.0685574711946655,0.6636790970752744,-1.5138065814971924,-0.3119199933154747,0.08174989227094354,0.830398782673018,0.3110470473766327,-0.061785331397486765,0.1688718795158599,0.8980396282675864
25,Base2Inst,-0.3388943042251635,-0.2435013248254227,0.9142470187771744,-65.10743713378906,-0.011663122176496125,-0.1749064447886712,0.4486377469528254,-3.7861411571502686,0.08795638995257937,-0.11846855504717735,0.5453055219012214,0.4037444293498993,-0.04689363130399932,-0.2230380278072473,0.7529908190772477
25,Inst2Base,-0.009883385352078345,0.21006602161565952,0.6892607623160826,-45.75223922729492,-0.37252492976378615,-0.08526738864592456,0.6196002559074778,-2.3874335289001465,-0.3065635519615611,0.09368375412577631,0.803214467836326,0.25603508949279785,-0.14464735849332402,0.1193024183703403,0.8748356976480278
26,Base2Inst,-0.32939968989148244,-0.2440341725275322,0.9068904966449485,-60.02671813964844,-0.04134316598547208,-0.19256170161550418,0.5042433295902675,-2.4502627849578857,0.0832504912958573,-0.13451307259148484,0.46989519540473157,0.39805808663368225,-0.03811805803150018,-0.24262165464535326,0.7399537084085237
26,Inst2Base,-0.014350874048698621,0.22676815330804542,0.6679988714781708,-43.7221565246582,-0.3605326213115919,-0.058289982182232206,0.6986660160970192,-1.5289791822433472,-0.30836281718322667,0.11130660232559829,0.8091157882749606,0.23178918659687042,-0.13296059523871445,0.11720564784265317,0.8734492787158854
27,Base2Inst,-0.31867529505019704,-0.23733524073064843,0.8863513704280438,-61.65767288208008,-0.05013923595184443,-0.14969449245788963,0.08187316089107999,-6.282081604003906,0.1011398576928409,-0.12113407862260377,0.3345256638393783,0.36934322118759155,0.0014358617403432172,-0.1949188988479195,0.698582140581614
27,Inst2Base,0.03297936283847808,0.2622530691350791,0.6059469096143157,-31.208372116088867,-0.3399463028512897,-0.003074238124963774,0.6133867102323647,-2.741650342941284,-0.2831186916820381,0.10156168855620899,0.7863039612594281,0.16724592447280884,-0.09949696089846069,0.10360756893851683,0.872718080456336
28,Base2Inst,-0.24941913975229632,-0.2683768482947004,0.8689759463357061,-48.225433349609375,0.10518071147868405,-0.14121217061657812,0.020352373386436855,-1.8092836141586304,0.09377166997419013,-0.18427349793707462,0.3427067978697113,0.34200096130371094,0.09460639612757142,-0.2766686747772937,0.6815237749881263
28,Inst2Base,0.021731612726087545,0.15998778316862228,0.5339675606460401,-55.24557876586914,-0.38297023342563097,-0.001384551506978401,0.5942403195278533,-2.2066702842712402,-0.2604234303131321,0.07600560943506651,0.7618308700355901,0.15791335701942444,-0.0637177290619028,0.08513263695554547,0.8685970861231181
