layer,alpha,pair_id,emotion,sign_V,sign_A,aligned_matched_shift_V,aligned_matched_shift_A,aligned_random_shift_V,aligned_random_shift_A,aligned_self_self_shift_V,aligned_self_self_shift_A,aligned_reader_reader_shift_V,aligned_reader_reader_shift_A,aligned_specificity_V,aligned_specificity_A,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,self_self_shift_V,self_self_shift_A,reader_reader_shift_V,reader_reader_shift_A,self_reader_shift_V,self_reader_shift_A,specificity_V,specificity_A
5,-1.0,P_ecstasy-d3-v1,ecstasy,1,1,-0.08803105985104054,0.0026226760089809176,0.018425165448192615,0.013346756191931597,-0.09287896829754949,-0.0020765017591806156,0.22495613321815267,0.20403332768573534,-0.10645622529923315,-0.01072408018295068,-0.08803105985104054,0.0026226760089809176,0.018425165448192615,0.013346756191931597,-0.09287896829754949,-0.0020765017591806156,0.22495613321815267,0.20403332768573534,0.2720687141006941,0.24282264591480107,-0.10645622529923315,-0.01072408018295068
5,-1.0,P_ecstasy-d3-v4,ecstasy,1,1,0.0693256071129591,0.05425157637155298,-0.06306802444735382,-0.029778411421715667,0.08409724617948822,0.06650990236445242,0.3276474260355946,0.154397074900396,0.13239363156031292,0.08402998779326865,0.0693256071129591,0.05425157637155298,-0.06306802444735382,-0.029778411421715667,0.08409724617948822,0.06650990236445242,0.3276474260355946,0.154397074900396,0.3913397312739648,0.18236068430563446,0.13239363156031292,0.08402998779326865
5,-1.0,P_loathing-d1-v2,loathing,-1,1,0.002758298461349007,0.02101694611692917,0.08219265159898193,-0.026484838476602768,0.02696331012791653,0.017323165023211295,-0.13056184530256232,0.07948746954406705,-0.07943435313763292,0.04750178459353194,-0.002758298461349007,0.02101694611692917,-0.08219265159898193,-0.026484838476602768,-0.02696331012791653,0.017323165023211295,0.13056184530256232,0.07948746954406705,0.12303375102643299,0.0761412486507469,0.07943435313763292,0.04750178459353194
5,-1.0,P_loathing-d2-v2,loathing,-1,1,0.1875361745673585,-0.10096055990236152,-0.13520884705306901,0.08190603708430988,0.269428477566811,-0.13269920391694257,0.15690667362380406,-0.07241825973126126,0.3227450216204275,-0.1828665969866714,-0.1875361745673585,-0.10096055990236152,0.13520884705306901,0.08190603708430988,-0.269428477566811,-0.13269920391694257,-0.15690667362380406,-0.07241825973126126,-0.21285342788066552,-0.09950153772940284,-0.3227450216204275,-0.1828665969866714
5,-1.0,P_loathing-d3-v2,loathing,-1,1,-0.09927185533283378,0.05962096710008247,-0.194839760450793,0.1503252485572606,-0.12496391457186506,0.0778480133402848,-0.3467433295555109,0.15581834454644028,0.0955679051179592,-0.09070428145717813,0.09927185533283378,0.05962096710008247,0.194839760450793,0.1503252485572606,0.12496391457186506,0.0778480133402848,0.3467433295555109,0.15581834454644028,0.42535984640525104,0.18380138236053511,-0.0955679051179592,-0.09070428145717813
5,-1.0,P_loathing-d3-v3,loathing,-1,1,-0.05015147945655407,0.02827578158649313,-0.06910040476506119,0.042565935678943845,-0.0692617263114661,0.03479735051331101,-0.16109034496236863,0.10112106413744915,0.018948925308507114,-0.014290154092450713,0.05015147945655407,0.02827578158649313,0.06910040476506119,0.042565935678943845,0.0692617263114661,0.03479735051331101,0.16109034496236863,0.10112106413744915,0.20707902858561944,0.12125192021792008,-0.018948925308507114,-0.014290154092450713
5,-1.0,P_loathing-d3-v4,loathing,-1,1,-0.06879026809513622,0.030480765055541426,0.07374231292569622,-0.00801481416408123,-0.058236691931715434,0.031672328760653734,-0.5384672153719894,0.2434004253827875,-0.14253258102083244,0.038495579219622655,0.06879026809513622,0.030480765055541426,-0.07374231292569622,-0.00801481416408123,0.058236691931715434,0.031672328760653734,0.5384672153719894,0.2434004253827875,0.5431657888886323,0.24956695646126592,0.14253258102083244,0.038495579219622655
5,-1.0,P_amazement-d1-v1,amazement,1,1,-0.014249928781167043,0.030977400282560907,-0.16348983677962714,-0.09556069857902294,-0.01189578115314216,0.032231802885249294,0.11470618256434717,0.09496915996751776,0.1492399079984601,0.12653809886158385,-0.014249928781167043,0.030977400282560907,-0.16348983677962714,-0.09556069857902294,-0.01189578115314216,0.032231802885249294,0.11470618256434717,0.09496915996751776,0.10915105307513118,0.09505959153458488,0.1492399079984601,0.12653809886158385
5,-1.0,P_amazement-d1-v2,amazement,1,1,0.01607003501789528,0.011845246770691098,0.00828045119913945,0.0058243271857625345,0.05453790419500404,0.03746920432456946,0.10671907003560399,0.0472032727117897,0.00778958381875583,0.0060209195849285635,0.01607003501789528,0.011845246770691098,0.00828045119913945,0.0058243271857625345,0.05453790419500404,0.03746920432456946,0.10671907003560399,0.0472032727117897,0.2189708053452062,0.0980570905230751,0.00778958381875583,0.0060209195849285635
5,-1.0,P_amazement-d1-v4,amazement,1,1,0.061659163722850074,0.08232511326357894,-0.031091386798082432,-0.01226012171757418,0.06966618728554952,0.0943664593987803,0.19862067128649752,0.15760616748095124,0.0927505505209325,0.09458523498115312,0.061659163722850074,0.08232511326357894,-0.031091386798082432,-0.01226012171757418,0.06966618728554952,0.0943664593987803,0.19862067128649752,0.15760616748095124,0.2598038194419061,0.19400495519445915,0.0927505505209325,0.09458523498115312
5,-1.0,P_amazement-d2-v1,amazement,1,1,-0.06655469429557748,-0.02009975874648884,-0.06860290678177794,-0.04235400657413635,-0.0474517386206621,-0.00020308670301272258,-0.03384640145301221,-5.416922758039178e-05,0.0020482124862004625,0.02225424782764751,-0.06655469429557748,-0.02009975874648884,-0.06860290678177794,-0.04235400657413635,-0.0474517386206621,-0.00020308670301272258,-0.03384640145301221,-5.416922758039178e-05,0.02141172132800584,0.03605807464434818,0.0020482124862004625,0.02225424782764751
5,-1.0,P_amazement-d2-v2,amazement,1,1,-0.041418574007451525,-0.008043226211851717,-0.035231610943249336,-0.015143080191849734,-0.03529944390631812,-0.010063353096792405,0.017164662327805225,0.02185433534949821,-0.006186963064202189,0.0070998539799980165,-0.041418574007451525,-0.008043226211851717,-0.035231610943249336,-0.015143080191849734,-0.03529944390631812,-0.010063353096792405,0.017164662327805225,0.02185433534949821,0.04818277853636799,0.03310205746243167,-0.006186963064202189,0.0070998539799980165
