pair_id,task,site_type,site_layer,impact
P_amazement-d2-v2,Reader,ReaderSite,1,1.7202492278112693
P_amazement-d2-v2,Self,ReaderSite,1,0.8105363530392902
P_amazement-d2-v2,Reader,SelfSite,10,1.794866418179974
P_amazement-d2-v2,Self,SelfSite,10,1.4487860284060607
P_amazement-d3-v2,Reader,ReaderSite,1,3.1902573374075045
P_amazement-d3-v2,Self,ReaderSite,1,1.6637785947877415
P_amazement-d3-v2,Reader,SelfSite,10,1.610583684486131
P_amazement-d3-v2,Self,SelfSite,10,1.630920922858154
P_amazement-d3-v4,Reader,ReaderSite,1,1.3979339078023072
P_amazement-d3-v4,Self,ReaderSite,1,0.9533128969260796
P_amazement-d3-v4,Reader,SelfSite,10,0.5520208714958379
P_amazement-d3-v4,Self,SelfSite,10,0.8675132944009283
P_admiration-d1-v1,Reader,ReaderSite,1,1.9313272981383074
P_admiration-d1-v1,Self,ReaderSite,1,2.5325999187207593
P_admiration-d1-v1,Reader,SelfSite,10,1.5213081373280883
P_admiration-d1-v1,Self,SelfSite,10,1.2742747144239108
P_admiration-d1-v2,Reader,ReaderSite,1,4.176717942055179
P_admiration-d1-v2,Self,ReaderSite,1,3.77838993366552
P_admiration-d1-v2,Reader,SelfSite,10,2.279014592250663
P_admiration-d1-v2,Self,SelfSite,10,1.9062806892851158
P_admiration-d1-v3,Reader,ReaderSite,1,3.75934185244811
P_admiration-d1-v3,Self,ReaderSite,1,0.7517490770025477
P_admiration-d1-v3,Reader,SelfSite,10,2.032990274296922
P_admiration-d1-v3,Self,SelfSite,10,1.7723448090768477
P_admiration-d2-v1,Reader,ReaderSite,1,2.686598528960042
P_admiration-d2-v1,Self,ReaderSite,1,1.4429566893639931
P_admiration-d2-v1,Reader,SelfSite,10,1.4393373175611295
P_admiration-d2-v1,Self,SelfSite,10,1.4945640452507156
P_admiration-d2-v2,Reader,ReaderSite,1,2.4144675168141427
P_admiration-d2-v2,Self,ReaderSite,1,1.7663319782411957
P_admiration-d2-v2,Reader,SelfSite,10,1.3533434805105924
P_admiration-d2-v2,Self,SelfSite,10,1.1840454447380657
P_admiration-d2-v3,Reader,ReaderSite,1,1.4394642819388257
P_admiration-d2-v3,Self,ReaderSite,1,0.5038699982108215
P_admiration-d2-v3,Reader,SelfSite,10,0.7652841188999622
P_admiration-d2-v3,Self,SelfSite,10,0.7173734768806339
P_vigilance-d1-v4,Reader,ReaderSite,1,2.722199128629349
P_vigilance-d1-v4,Self,ReaderSite,1,2.641120839015043
P_vigilance-d1-v4,Reader,SelfSite,10,1.9801299869978521
P_vigilance-d1-v4,Self,SelfSite,10,1.5822256461170232
P_vigilance-d2-v3,Reader,ReaderSite,1,2.7994232869336146
P_vigilance-d2-v3,Self,ReaderSite,1,1.6760640071293498
P_vigilance-d2-v3,Reader,SelfSite,10,1.6732225623014192
P_vigilance-d2-v3,Self,SelfSite,10,1.3377296484333292
P_vigilance-d2-v4,Reader,ReaderSite,1,2.232940173246427
P_vigilance-d2-v4,Self,ReaderSite,1,1.700547391886412
P_vigilance-d2-v4,Reader,SelfSite,10,1.8527968295154142
P_vigilance-d2-v4,Self,SelfSite,10,1.089619654118446
P_vigilance-d3-v2,Reader,ReaderSite,1,1.584141695194393
P_vigilance-d3-v2,Self,ReaderSite,1,2.00157571161476
P_vigilance-d3-v2,Reader,SelfSite,10,2.0385123918184056
P_vigilance-d3-v2,Self,SelfSite,10,1.5031629586642614
P_vigilance-d3-v4,Reader,ReaderSite,1,2.566998478335708
P_vigilance-d3-v4,Self,ReaderSite,1,1.3966976191911078
P_vigilance-d3-v4,Reader,SelfSite,10,2.004999218535066
P_vigilance-d3-v4,Self,SelfSite,10,1.6352862085431474
P_rage-d4-v1,Reader,ReaderSite,1,0.3753980048011911
P_rage-d4-v1,Self,ReaderSite,1,0.1849329629560188
P_rage-d4-v1,Reader,SelfSite,10,1.7642560190533199
P_rage-d4-v1,Self,SelfSite,10,1.2507081548324477
