family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.26666666666666666,-2.8806962120847322e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.3333333333333333,3.454044224971753e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.4,1.0201170450719665e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.4666666666666667,-2.8090490848284412e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.5333333333333333,-1.0925585773895464e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.6,3.909161822565377e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.6666666666666666,-1.0351409306299963e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.7333333333333333,2.1965553876527542e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.8,-2.397809558209296e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.8666666666666667,-1.4462679515435895e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,0.9333333333333333,-2.227436575877473e-05
olmo,instruct,inst_matched_plain_reader,reader,arousal,1.0,2.7533531010703882e-17
olmo,instruct,inst_matched_reader,reader,valence,0.0,-2.9334305838950137e-05
olmo,instruct,inst_matched_reader,reader,valence,0.06666666666666667,2.7808402353890926e-05
olmo,instruct,inst_matched_reader,reader,valence,0.13333333333333333,-0.00013224573011359197
olmo,instruct,inst_matched_reader,reader,valence,0.2,5.704183691903442e-05
olmo,instruct,inst_matched_reader,reader,valence,0.26666666666666666,0.00015815585834290412
olmo,instruct,inst_matched_reader,reader,valence,0.3333333333333333,-0.0002485256998524799
olmo,instruct,inst_matched_reader,reader,valence,0.4,-4.879361344883648e-06
olmo,instruct,inst_matched_reader,reader,valence,0.4666666666666667,-1.7814936843272734e-05
olmo,instruct,inst_matched_reader,reader,valence,0.5333333333333333,1.3981604627029576e-05
olmo,instruct,inst_matched_reader,reader,valence,0.6,-0.00019476946583450781
olmo,instruct,inst_matched_reader,reader,valence,0.6666666666666666,-0.000123603709503481
olmo,instruct,inst_matched_reader,reader,valence,0.7333333333333333,0.00010930767369124617
olmo,instruct,inst_matched_reader,reader,valence,0.8,-5.919836264158107e-05
olmo,instruct,inst_matched_reader,reader,valence,0.8666666666666667,-8.347554208656049e-05
olmo,instruct,inst_matched_reader,reader,valence,0.9333333333333333,-1.1980865666246565e-05
olmo,instruct,inst_matched_reader,reader,valence,1.0,3.6415315207705136e-17
olmo,instruct,inst_matched_reader,reader,arousal,0.0,1.5347172915716634e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.06666666666666667,-1.4124704959203704e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.13333333333333333,8.591945578357852e-06
olmo,instruct,inst_matched_reader,reader,arousal,0.2,-4.4043383543251654e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.26666666666666666,-2.8806962120847322e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.3333333333333333,3.454044224971753e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.4,1.0201170450719665e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.4666666666666667,-2.8090490848284412e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.5333333333333333,-1.0925585773895464e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.6,3.909161822565377e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.6666666666666666,-1.0351409306299963e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.7333333333333333,2.1965553876527542e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.8,-2.397809558209296e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.8666666666666667,-1.4462679515435895e-05
olmo,instruct,inst_matched_reader,reader,arousal,0.9333333333333333,-2.227436575877473e-05
olmo,instruct,inst_matched_reader,reader,arousal,1.0,2.7533531010703882e-17
