model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
llama_base,llama,base,valence,0.1333333333333333,0.0,0.9468262855329426,-0.0089810853408823
llama_base,llama,base,arousal,0.1333333333333333,0.0,0.9468262855329426,0.0211756576256056
llama_base,llama,base,valence,0.2,0.0,0.9450447891778238,-0.0064630656136531
llama_base,llama,base,arousal,0.2,0.0,0.9450447891778238,0.0094845548874433
llama_base,llama,base,valence,0.2666666666666666,0.0,0.9599388296058906,0.0062639510596895
llama_base,llama,base,arousal,0.2666666666666666,0.0,0.9599388296058906,-0.0014816483905831
llama_base,llama,base,valence,0.3333333333333333,0.0,0.9595706773500264,0.0684614999667021
llama_base,llama,base,arousal,0.3333333333333333,0.0,0.9595706773500264,0.0162461978658354
llama_base,llama,base,valence,0.4,0.0,0.949723074891747,0.0538356275508647
llama_base,llama,base,arousal,0.4,0.0,0.949723074891747,0.1579409558114078
llama_base,llama,base,valence,0.4666666666666667,0.0,0.9234441782180862,0.2260551895952107
llama_base,llama,base,arousal,0.4666666666666667,0.0,0.9234441782180862,0.0427099154189357
llama_base,llama,base,valence,0.5333333333333333,0.0,0.9008254410352152,0.2038168202494529
llama_base,llama,base,arousal,0.5333333333333333,0.0,0.9008254410352152,0.0882737916458207
llama_base,llama,base,valence,0.6,0.0,0.8916367346125741,0.1180768301032899
llama_base,llama,base,arousal,0.6,0.0,0.8916367346125741,0.0916992054799844
llama_base,llama,base,valence,0.6666666666666666,0.0,0.8600143568000387,0.1525404410967243
llama_base,llama,base,arousal,0.6666666666666666,0.0,0.8600143568000387,0.1106024050600698
llama_base,llama,base,valence,0.7333333333333333,0.0,0.8500808371733294,0.2336149458205904
llama_base,llama,base,arousal,0.7333333333333333,0.0,0.8500808371733294,0.0510390524474262
llama_base,llama,base,valence,0.8,0.0,0.8408394373857717,0.2065120638044092
llama_base,llama,base,arousal,0.8,0.0,0.8408394373857717,0.0703171794121164
llama_base,llama,base,valence,0.8666666666666667,0.0,0.8557626670044003,0.0506356092002183
llama_base,llama,base,arousal,0.8666666666666667,0.0,0.8557626670044003,0.02546635830313
llama_base,llama,base,valence,0.9333333333333332,0.0,0.8644159173130459,0.0230453872359817
