model,family,alignment,task,axis,mean_aligned_delta,ci_low,ci_high,cohen_dz
olmo_instruct,olmo,instruct,self,valence,0.0089901365882185,0.0054501206612645,0.0126085373289939,0.3568302833379419
olmo_instruct,olmo,instruct,writer,arousal,-0.0226450362130739,-0.0336089572973742,-0.0119439440659628,-0.294462215801179
olmo_instruct,olmo,instruct,reader,arousal,-0.0072024564416058,-0.0171363236436292,0.0025004843380689,-0.1043803672777878
olmo_instruct,olmo,instruct,self,arousal,-0.0170009632688159,-0.0267933734956168,-0.0073093401863722,-0.2418947749139367
olmo_instruct,olmo,instruct,writer,dominance,0.0035776277547575,-0.0055156266287009,0.0132288559935508,0.0522712459065562
olmo_instruct,olmo,instruct,reader,dominance,0.0059355967742993,-0.0030310405671638,0.0148046536145864,0.0880510705650294
olmo_instruct,olmo,instruct,self,dominance,0.00241318317651,-0.0054962533372376,0.0101190358200819,0.041109022855695
qwen_base,qwen,base,writer,valence,0.0065778509750822,0.0043103386363104,0.0088880365229125,0.3928028116459904
qwen_base,qwen,base,reader,valence,0.0046481836812667,0.0024155011252069,0.0071098810634376,0.2710749897732289
qwen_base,qwen,base,self,valence,0.0058189989037787,0.0040356369808181,0.0076021060037674,0.4463949344473837
qwen_base,qwen,base,writer,arousal,0.0105853920164429,0.007620139903234,0.0133874167066394,0.4913539045914735
qwen_base,qwen,base,reader,arousal,0.0149576245902079,0.0116722437024071,0.0180175768932791,0.6494801683316908
qwen_base,qwen,base,self,arousal,0.0052250581943499,0.0025495432703665,0.0078175298062128,0.2689159974483245
qwen_base,qwen,base,writer,dominance,-0.004752226624763,-0.0078052986876837,-0.0018035522936163,-0.2252499399941511
qwen_base,qwen,base,reader,dominance,-0.0035010589506022,-0.0062534143538806,-0.0008533399073997,-0.1926052792757507
qwen_base,qwen,base,self,dominance,-0.0055214814909683,-0.0088247048808892,-0.0022281102599229,-0.2396472377845631
qwen_instruct,qwen,instruct,writer,valence,0.0192248355606168,0.013682287456383,0.0247795760264703,0.4945786432184842
qwen_instruct,qwen,instruct,reader,valence,0.0224368232472108,0.0148409928501984,0.0297680797540194,0.4147629895811459
qwen_instruct,qwen,instruct,self,valence,0.0175629633068641,0.0124540150801609,0.0224307210645296,0.4934712373481429
qwen_instruct,qwen,instruct,writer,arousal,0.0384941067210706,0.0322290242628934,0.0450928186171134,0.8160740963781461
qwen_instruct,qwen,instruct,reader,arousal,0.0646948132165012,0.0558155091401359,0.0743613744154669,0.9532000678122688
qwen_instruct,qwen,instruct,self,arousal,0.0331887151220617,0.0270798792251729,0.0395013282513527,0.727595301737021
qwen_instruct,qwen,instruct,writer,dominance,-0.0001212427072176,-0.0023728119444048,0.002037405280927,-0.0076955149530879
