model,family,alignment,axis,layer,relative_depth,r2_reader,r2_self
gemma_base,gemma,base,arousal,11,0.44,0.0215277547381282,0.005674227092777
gemma_base,gemma,base,arousal,12,0.48,0.0025785555701492,0.0019557543875613
gemma_base,gemma,base,arousal,13,0.52,0.0112209231343189,-0.0031424569422948
gemma_base,gemma,base,arousal,14,0.56,0.0339032587465222,0.038106388389182
gemma_base,gemma,base,arousal,15,0.6,0.0434630143274694,0.0166167243530589
gemma_base,gemma,base,arousal,16,0.64,0.0388246624789714,0.044295321193433
gemma_base,gemma,base,arousal,17,0.68,0.0107845912168773,0.0103113494795412
gemma_base,gemma,base,arousal,18,0.72,0.0181339236755833,0.0105934079031827
gemma_base,gemma,base,arousal,19,0.76,0.0284594340997057,0.0129071154973187
gemma_base,gemma,base,arousal,20,0.8,0.0160445870411838,0.0297014345569345
gemma_base,gemma,base,arousal,21,0.84,0.0230391973569262,0.0294754746636894
gemma_base,gemma,base,arousal,22,0.88,0.0211806863687967,0.0141738721187445
gemma_base,gemma,base,arousal,23,0.92,0.0171653660313488,0.0222937448848098
gemma_base,gemma,base,arousal,24,0.96,0.0328263238823409,0.0212031883796215
gemma_base,gemma,base,arousal,25,1.0,0.0254475844021073,0.0147469453625922
gemma_instruct,gemma,instruct,valence,0,0.0,0.0960008439948573,0.0995103576364637
gemma_instruct,gemma,instruct,valence,1,0.04,0.1101171089669466,0.1010378616794722
gemma_instruct,gemma,instruct,valence,2,0.08,0.1164272120457331,0.1197687747182053
gemma_instruct,gemma,instruct,valence,3,0.12,0.1182307311357945,0.1171692624139864
gemma_instruct,gemma,instruct,valence,4,0.16,0.1455516605676279,0.1407380986019275
gemma_instruct,gemma,instruct,valence,5,0.2,0.1192675870401769,0.1279063818238628
gemma_instruct,gemma,instruct,valence,6,0.24,0.106110718266175,0.1277853199058349
gemma_instruct,gemma,instruct,valence,7,0.28,0.115266504087905,0.1250140292409544
gemma_instruct,gemma,instruct,valence,8,0.32,0.1930434319582441,0.2414894868124639
gemma_instruct,gemma,instruct,valence,9,0.36,0.2669012684510267,0.3236484357046884
gemma_instruct,gemma,instruct,valence,10,0.4,0.257842341304329,0.303812954586948
gemma_instruct,gemma,instruct,valence,11,0.44,0.2388737143183489,0.2796616164283898
gemma_instruct,gemma,instruct,valence,12,0.48,0.3010477745239135,0.3571421806966682
gemma_instruct,gemma,instruct,valence,13,0.52,0.2921503818129206,0.3631518369142965
gemma_instruct,gemma,instruct,valence,14,0.56,0.2908296972558944,0.3753453264236311
gemma_instruct,gemma,instruct,valence,15,0.6,0.2955612447226529,0.340897960973999
gemma_instruct,gemma,instruct,valence,16,0.64,0.2832977878352878,0.3337691449974953
gemma_instruct,gemma,instruct,valence,17,0.68,0.2886827085705812,0.3347801204098328
gemma_instruct,gemma,instruct,valence,18,0.72,0.2735544407414512,0.3258174328794487
gemma_instruct,gemma,instruct,valence,19,0.76,0.2696894688779552,0.3215751046256544
gemma_instruct,gemma,instruct,valence,20,0.8,0.2954726180029717,0.3231659569549184
gemma_instruct,gemma,instruct,valence,21,0.84,0.2957668775357609,0.3288233948804021
gemma_instruct,gemma,instruct,valence,22,0.88,0.2715514599857698,0.325465799997413
gemma_instruct,gemma,instruct,valence,23,0.92,0.2804765524434444,0.334672707492768
gemma_instruct,gemma,instruct,valence,24,0.96,0.2583385347431743,0.3337943071062654
gemma_instruct,gemma,instruct,valence,25,1.0,0.282303511524684,0.3310426453441824
gemma_instruct,gemma,instruct,arousal,0,0.0,0.0204829888382962,0.0408973954377219
gemma_instruct,gemma,instruct,arousal,1,0.04,-0.0006781889520641,0.0241515313063737
gemma_instruct,gemma,instruct,arousal,2,0.08,0.0304737090131286,0.041842038167247
gemma_instruct,gemma,instruct,arousal,3,0.12,0.0272362072143421,0.0323501078520235
gemma_instruct,gemma,instruct,arousal,4,0.16,0.0403208871527791,0.0450624096289054
gemma_instruct,gemma,instruct,arousal,5,0.2,0.0348494611597964,0.0445299021805828
gemma_instruct,gemma,instruct,arousal,6,0.24,0.0238806315333472,0.0250275158928652
gemma_instruct,gemma,instruct,arousal,7,0.28,0.0331463998965957,0.0435904076274504
gemma_instruct,gemma,instruct,arousal,8,0.32,0.0617593244849907,0.0355642832555352
gemma_instruct,gemma,instruct,arousal,9,0.36,0.0475002741697101,0.0347976336678357
gemma_instruct,gemma,instruct,arousal,10,0.4,0.0679473282836383,0.0279774850753978
gemma_instruct,gemma,instruct,arousal,11,0.44,0.0788272241666906,0.0426093424703463
gemma_instruct,gemma,instruct,arousal,12,0.48,0.0937651131560075,0.0652061411855894
gemma_instruct,gemma,instruct,arousal,13,0.52,0.0824988609727112,0.0522698504619325
gemma_instruct,gemma,instruct,arousal,14,0.56,0.0872378280918668,0.0509772294716904
gemma_instruct,gemma,instruct,arousal,15,0.6,0.084197608804921,0.0656045191904
gemma_instruct,gemma,instruct,arousal,16,0.64,0.0794633678414381,0.0443728834701966
gemma_instruct,gemma,instruct,arousal,17,0.68,0.0790451620183836,0.05383708263168
gemma_instruct,gemma,instruct,arousal,18,0.72,0.086634490306732,0.0686711536130598
gemma_instruct,gemma,instruct,arousal,19,0.76,0.0840333617710361,0.06489614657688
gemma_instruct,gemma,instruct,arousal,20,0.8,0.0732464603228245,0.0813399771292481
gemma_instruct,gemma,instruct,arousal,21,0.84,0.0859989471217298,0.0882090064576511
gemma_instruct,gemma,instruct,arousal,22,0.88,0.0712779207306036,0.0777560388164572
gemma_instruct,gemma,instruct,arousal,23,0.92,0.0698856743571534,0.0760479065044752
gemma_instruct,gemma,instruct,arousal,24,0.96,0.0722681574917717,0.0794929710614827
gemma_instruct,gemma,instruct,arousal,25,1.0,0.076893302599304,0.0677296013067415
llama_base,llama,base,valence,0,0.0,0.1374817776543005,0.1389459250208489
llama_base,llama,base,valence,1,0.0666666666666666,0.1353912325733114,0.1277765941477108
llama_base,llama,base,valence,2,0.1333333333333333,0.1208445963297329,0.1185340551779939
llama_base,llama,base,valence,3,0.2,0.1295914235436182,0.138792985558983
llama_base,llama,base,valence,4,0.2666666666666666,0.1383000323633445,0.1657869415258686
llama_base,llama,base,valence,5,0.3333333333333333,0.1204485793567604,0.1497040259676197
llama_base,llama,base,valence,6,0.4,0.1230720569257184,0.1604418728318658
llama_base,llama,base,valence,7,0.4666666666666667,0.1624963414091561,0.1566196385766517
llama_base,llama,base,valence,8,0.5333333333333333,0.1425377770880638,0.1445470320265776
llama_base,llama,base,valence,9,0.6,0.1647588784034708,0.199281820426159
llama_base,llama,base,valence,10,0.6666666666666666,0.1692036314332234,0.2115692210133648
llama_base,llama,base,valence,11,0.7333333333333333,0.2175719362731822,0.2430379170331387
llama_base,llama,base,valence,12,0.8,0.2370425947578968,0.2119910485255693
llama_base,llama,base,valence,13,0.8666666666666667,0.2265388441608185,0.2220501393890338
llama_base,llama,base,valence,14,0.9333333333333332,0.2394872200627035,0.2233391744286408
llama_base,llama,base,valence,15,1.0,0.2122753176299299,0.2098031649138751
llama_base,llama,base,arousal,0,0.0,0.0268186602114438,0.03917146122639
llama_base,llama,base,arousal,1,0.0666666666666666,0.0506967507152074,0.0578180895096592
llama_base,llama,base,arousal,2,0.1333333333333333,0.0401213186897673,0.0360109172535362
llama_base,llama,base,arousal,3,0.2,0.047824430104037,0.0561495549831684
llama_base,llama,base,arousal,4,0.2666666666666666,0.0678100967334464,0.0652386362305674
llama_base,llama,base,arousal,5,0.3333333333333333,0.0619634865637699,0.0446347744937389
llama_base,llama,base,arousal,6,0.4,0.0453182573920452,0.0453298281889195
llama_base,llama,base,arousal,7,0.4666666666666667,0.0606713935211233,0.033514288314128
llama_base,llama,base,arousal,8,0.5333333333333333,0.0299130207602257,0.0152768727279481
llama_base,llama,base,arousal,9,0.6,0.0495277453791894,0.0334184000582319
llama_base,llama,base,arousal,10,0.6666666666666666,0.0308820535993928,0.0154254228992016
llama_base,llama,base,arousal,11,0.7333333333333333,0.0323837603846455,0.0213669199405203
llama_base,llama,base,arousal,12,0.8,0.0326004284623437,0.0222578621313592
llama_base,llama,base,arousal,13,0.8666666666666667,0.0421702058160441,0.047429965993011
llama_base,llama,base,arousal,14,0.9333333333333332,0.0356461256579707,0.0476966021629227
llama_base,llama,base,arousal,15,1.0,0.0328265829992036,0.0214492018498381
llama_instruct,llama,instruct,valence,0,0.0,0.0887988784488477,0.0882536129427357
llama_instruct,llama,instruct,valence,1,0.0666666666666666,0.132086487290621,0.1298756954310532
llama_instruct,llama,instruct,valence,2,0.1333333333333333,0.1301556058390945,0.1370414708023143
llama_instruct,llama,instruct,valence,3,0.2,0.1714758602739667,0.1563075129341518
llama_instruct,llama,instruct,valence,4,0.2666666666666666,0.2037346463922374,0.255976152561101
llama_instruct,llama,instruct,valence,5,0.3333333333333333,0.2582945291863244,0.2845607176689965
llama_instruct,llama,instruct,valence,6,0.4,0.3166373389253061,0.3219287909705625
llama_instruct,llama,instruct,valence,7,0.4666666666666667,0.2922990414178549,0.3096163807303435
llama_instruct,llama,instruct,valence,8,0.5333333333333333,0.3100047076669371,0.3547857533618066
llama_instruct,llama,instruct,valence,9,0.6,0.2672286174298888,0.3358932849108212
llama_instruct,llama,instruct,valence,10,0.6666666666666666,0.2758777491244776,0.2992274150944652
llama_instruct,llama,instruct,valence,11,0.7333333333333333,0.2499417209021819,0.2837507646812882
llama_instruct,llama,instruct,valence,12,0.8,0.2518975409446784,0.2782244918148733
llama_instruct,llama,instruct,valence,13,0.8666666666666667,0.25731339854176,0.245582902280774
llama_instruct,llama,instruct,valence,14,0.9333333333333332,0.2595660725019867,0.2566099901613857
llama_instruct,llama,instruct,valence,15,1.0,0.2506057164195469,0.2517049942246941
llama_instruct,llama,instruct,arousal,0,0.0,0.0038543442539547,0.0068568235883259
llama_instruct,llama,instruct,arousal,1,0.0666666666666666,0.0200767505190292,0.023872035146493
llama_instruct,llama,instruct,arousal,2,0.1333333333333333,0.027459211807657,0.0123154912807702
llama_instruct,llama,instruct,arousal,3,0.2,0.0124093724789829,0.0240696209664592
llama_instruct,llama,instruct,arousal,4,0.2666666666666666,0.0315723020376291,0.0369774178005802
llama_instruct,llama,instruct,arousal,5,0.3333333333333333,0.0483157548926241,0.0645310340270711
llama_instruct,llama,instruct,arousal,6,0.4,0.1076100291875205,0.0902139464646381
llama_instruct,llama,instruct,arousal,7,0.4666666666666667,0.0805589421461644,0.098848350059809
llama_instruct,llama,instruct,arousal,8,0.5333333333333333,0.1127433410811203,0.1057962073881056
llama_instruct,llama,instruct,arousal,9,0.6,0.0842854095346216,0.0821219137196771
llama_instruct,llama,instruct,arousal,10,0.6666666666666666,0.0862767106702715,0.0698370444067127
llama_instruct,llama,instruct,arousal,11,0.7333333333333333,0.0739990375810464,0.0570510864510073
llama_instruct,llama,instruct,arousal,12,0.8,0.0675237638057768,0.0693310888435401
llama_instruct,llama,instruct,arousal,13,0.8666666666666667,0.0699220004746956,0.0655201701794055
llama_instruct,llama,instruct,arousal,14,0.9333333333333332,0.0649764020913018,0.0608514942934368
llama_instruct,llama,instruct,arousal,15,1.0,0.0755368922093816,0.0627249020432321
olmo_base,olmo,base,valence,0,0.0,0.077882701913029,0.0712507134761305
olmo_base,olmo,base,valence,1,0.0666666666666666,0.1269234184574744,0.1361835647449584
olmo_base,olmo,base,valence,2,0.1333333333333333,0.1090799291589698,0.1228213288255887
olmo_base,olmo,base,valence,3,0.2,0.1136912848225076,0.1206669059756659
olmo_base,olmo,base,valence,4,0.2666666666666666,0.129268352506541,0.1377908950446682
olmo_base,olmo,base,valence,5,0.3333333333333333,0.1619840558346695,0.1698743526944278
olmo_base,olmo,base,valence,6,0.4,0.1458868675322581,0.1416951352305988
olmo_base,olmo,base,valence,7,0.4666666666666667,0.3574649989919997,0.3737777961106837
olmo_base,olmo,base,valence,8,0.5333333333333333,0.3279387387857252,0.3324837441494577
olmo_base,olmo,base,valence,9,0.6,0.3402377164938112,0.3905434751064593
olmo_base,olmo,base,valence,10,0.6666666666666666,0.3480810409551192,0.3670783002247773
olmo_base,olmo,base,valence,11,0.7333333333333333,0.380990485185777,0.3854243066042579
olmo_base,olmo,base,valence,12,0.8,0.4015879560253341,0.4243170249745324
olmo_base,olmo,base,valence,13,0.8666666666666667,0.3797238908089521,0.4178054536051968
olmo_base,olmo,base,valence,14,0.9333333333333332,0.4177996606861939,0.4583701599380826
olmo_base,olmo,base,valence,15,1.0,0.3928874110651424,0.4278803296087976
olmo_base,olmo,base,arousal,0,0.0,0.0050920082983407,0.0082261742027098
olmo_base,olmo,base,arousal,1,0.0666666666666666,0.0383130310405592,0.0423471417765176
olmo_base,olmo,base,arousal,2,0.1333333333333333,0.0295738166264134,0.0280303365023805
olmo_base,olmo,base,arousal,3,0.2,0.0275271039281832,0.0223144631390846
olmo_base,olmo,base,arousal,4,0.2666666666666666,-0.0019548318704085,0.0130574287319926
olmo_base,olmo,base,arousal,5,0.3333333333333333,0.0198528177348615,0.0172320820060573
olmo_base,olmo,base,arousal,6,0.4,0.0442011019982785,0.0252410893694137
olmo_base,olmo,base,arousal,7,0.4666666666666667,0.0889557296451997,0.0789886515442961
olmo_base,olmo,base,arousal,8,0.5333333333333333,0.0849673606949097,0.0928080376156037
olmo_base,olmo,base,arousal,9,0.6,0.0846441092846927,0.1059639428029035
olmo_base,olmo,base,arousal,10,0.6666666666666666,0.0702431226549432,0.087401387378849
olmo_base,olmo,base,arousal,11,0.7333333333333333,0.0850891294996579,0.0921924939537547
olmo_base,olmo,base,arousal,12,0.8,0.0831879850322635,0.0763518113428862
olmo_base,olmo,base,arousal,13,0.8666666666666667,0.0772203581033984,0.0906395599551428
olmo_base,olmo,base,arousal,14,0.9333333333333332,0.0878280349280561,0.096906781660974
olmo_base,olmo,base,arousal,15,1.0,0.0852549619174929,0.0763268846477319
olmo_instruct,olmo,instruct,valence,0,0.0,0.1134460584252533,0.1015654472002051
olmo_instruct,olmo,instruct,valence,1,0.0666666666666666,0.1064967730863423,0.1065886417921595
olmo_instruct,olmo,instruct,valence,2,0.1333333333333333,0.1535897754106434,0.1607420481715553
olmo_instruct,olmo,instruct,valence,3,0.2,0.2448300230140837,0.2519804908450369
olmo_instruct,olmo,instruct,valence,4,0.2666666666666666,0.2608671690225568,0.2513958816131513
olmo_instruct,olmo,instruct,valence,5,0.3333333333333333,0.3131171608474344,0.3328723694575065
olmo_instruct,olmo,instruct,valence,6,0.4,0.3136299133426615,0.3486576444954326
olmo_instruct,olmo,instruct,valence,7,0.4666666666666667,0.3272127480522685,0.3518722995509653
olmo_instruct,olmo,instruct,valence,8,0.5333333333333333,0.3069843595391577,0.3304026367898715
olmo_instruct,olmo,instruct,valence,9,0.6,0.2898534676811277,0.3277074051826432
olmo_instruct,olmo,instruct,valence,10,0.6666666666666666,0.2904596684564908,0.3310174123900898
olmo_instruct,olmo,instruct,valence,11,0.7333333333333333,0.3110139760860173,0.343800343150984
olmo_instruct,olmo,instruct,valence,12,0.8,0.2830090132956661,0.3089698652145303
olmo_instruct,olmo,instruct,valence,13,0.8666666666666667,0.2733296370240994,0.3049454865263858
olmo_instruct,olmo,instruct,valence,14,0.9333333333333332,0.2622294808750853,0.3042242387933991
olmo_instruct,olmo,instruct,valence,15,1.0,0.2604159784047493,0.3056622891464144
olmo_instruct,olmo,instruct,arousal,0,0.0,0.0012337468638786,-0.0033013583881642
olmo_instruct,olmo,instruct,arousal,1,0.0666666666666666,0.0109861033760881,0.0075669583055322
olmo_instruct,olmo,instruct,arousal,2,0.1333333333333333,0.0388813698876313,0.0501019668373434
olmo_instruct,olmo,instruct,arousal,3,0.2,0.0333622183839099,0.0280494527666655
olmo_instruct,olmo,instruct,arousal,4,0.2666666666666666,0.0317319243219286,0.0329855081500261
olmo_instruct,olmo,instruct,arousal,5,0.3333333333333333,0.0569745921390819,0.0704168787261089
olmo_instruct,olmo,instruct,arousal,6,0.4,0.083658270774802,0.0838168058424648
olmo_instruct,olmo,instruct,arousal,7,0.4666666666666667,0.0824639035375012,0.0856019682538111
olmo_instruct,olmo,instruct,arousal,8,0.5333333333333333,0.0661356854327035,0.0654662826260458
olmo_instruct,olmo,instruct,arousal,9,0.6,0.0645468048800311,0.0744951489923401
olmo_instruct,olmo,instruct,arousal,10,0.6666666666666666,0.0680315568753898,0.0773708861418194
olmo_instruct,olmo,instruct,arousal,11,0.7333333333333333,0.0845591691144095,0.0785608874404817
olmo_instruct,olmo,instruct,arousal,12,0.8,0.0698271632584529,0.0626963680701908
olmo_instruct,olmo,instruct,arousal,13,0.8666666666666667,0.0657698349404306,0.062459339730028
olmo_instruct,olmo,instruct,arousal,14,0.9333333333333332,0.0575745061665451,0.060639359266485
olmo_instruct,olmo,instruct,arousal,15,1.0,0.0460626204871827,0.0647522991149348
qwen_base,qwen,base,valence,0,0.0,0.057643930851148,0.0550876800850921
qwen_base,qwen,base,valence,1,0.037037037037037,0.0535315612684407,0.0705310722428826
qwen_base,qwen,base,valence,2,0.074074074074074,0.0387709698557339,0.0465053923697885
qwen_base,qwen,base,valence,3,0.1111111111111111,0.0465903161698124,0.0554522652613561
qwen_base,qwen,base,valence,4,0.1481481481481481,0.0557441752920692,0.0591409462451122
qwen_base,qwen,base,valence,5,0.1851851851851851,0.0292764713888037,0.0275764585683551
qwen_base,qwen,base,valence,6,0.2222222222222222,0.0590912189905167,0.0524983283406376
qwen_base,qwen,base,valence,7,0.2592592592592592,0.0674347597544633,0.0460786451157317
qwen_base,qwen,base,valence,8,0.2962962962962963,0.0721971823016872,0.0795738952653537
qwen_base,qwen,base,valence,9,0.3333333333333333,0.0796141870986743,0.0960951159159418
qwen_base,qwen,base,valence,10,0.3703703703703703,0.0771811157750474,0.0950946366621099
qwen_base,qwen,base,valence,11,0.4074074074074074,0.0877644906222949,0.1027107676251528
qwen_base,qwen,base,valence,12,0.4444444444444444,0.098052594471695,0.1024506909959951
qwen_base,qwen,base,valence,13,0.4814814814814814,0.2373747730938749,0.2517338456504338
qwen_base,qwen,base,valence,14,0.5185185185185185,0.179279584498966,0.1914520027225591
qwen_base,qwen,base,valence,15,0.5555555555555556,0.1628070987061725,0.1911098682186277
qwen_base,qwen,base,valence,16,0.5925925925925926,0.3086706671812114,0.299217307411654
qwen_base,qwen,base,valence,17,0.6296296296296297,0.3601467102490511,0.3346989491228218
qwen_base,qwen,base,valence,18,0.6666666666666666,0.3610268290186618,0.3354126217202368
qwen_base,qwen,base,valence,19,0.7037037037037037,0.3442352166164923,0.3292849175501491
qwen_base,qwen,base,valence,20,0.7407407407407407,0.3386464593058041,0.3349169617261406
qwen_base,qwen,base,valence,21,0.7777777777777778,0.362544019320155,0.380312754593039
qwen_base,qwen,base,valence,22,0.8148148148148148,0.3784475146678349,0.3910673351887783
qwen_base,qwen,base,valence,23,0.8518518518518519,0.3782457206527057,0.3902364876611571
qwen_base,qwen,base,valence,24,0.8888888888888888,0.3757128417903196,0.3798365089434032
qwen_base,qwen,base,valence,25,0.925925925925926,0.3696779608329322,0.3809400562845144
qwen_base,qwen,base,valence,26,0.9629629629629628,0.3749284706944501,0.3771833433054025
qwen_base,qwen,base,valence,27,1.0,0.3019514767803913,0.3297454452683409
qwen_base,qwen,base,arousal,0,0.0,0.0449801305534015,0.0493344595485413
qwen_base,qwen,base,arousal,1,0.037037037037037,0.0442499792931112,0.0515660992092199
qwen_base,qwen,base,arousal,2,0.074074074074074,0.0508998308606466,0.0609572104667621
qwen_base,qwen,base,arousal,3,0.1111111111111111,0.0246904935304987,0.0257113843294807
qwen_base,qwen,base,arousal,4,0.1481481481481481,0.0170464571979257,0.0158370940514898
qwen_base,qwen,base,arousal,5,0.1851851851851851,-0.0150731965201107,-0.0045106114283
qwen_base,qwen,base,arousal,6,0.2222222222222222,-0.0030221851589062,0.0188865599875396
qwen_base,qwen,base,arousal,7,0.2592592592592592,0.0046062688002745,0.0102260566802621
qwen_base,qwen,base,arousal,8,0.2962962962962963,0.0189833578071711,0.0135087759915035
qwen_base,qwen,base,arousal,9,0.3333333333333333,0.0296032958217377,0.0198370089372592
qwen_base,qwen,base,arousal,10,0.3703703703703703,0.0391584124560474,0.0371611669334392
qwen_base,qwen,base,arousal,11,0.4074074074074074,0.0235625867211428,0.0207356566989811
qwen_base,qwen,base,arousal,12,0.4444444444444444,0.0354947519261238,0.0457300232705878
qwen_base,qwen,base,arousal,13,0.4814814814814814,0.0386409035563246,0.0682150825031256
qwen_base,qwen,base,arousal,14,0.5185185185185185,0.0498955983728094,0.0772421904870774
qwen_base,qwen,base,arousal,15,0.5555555555555556,0.0487003771780849,0.0740086821043547
qwen_base,qwen,base,arousal,16,0.5925925925925926,0.0966777721180607,0.1095932250377117
qwen_base,qwen,base,arousal,17,0.6296296296296297,0.1038302719598394,0.1070554197942599
qwen_base,qwen,base,arousal,18,0.6666666666666666,0.099592786873627,0.0925640150182892
qwen_base,qwen,base,arousal,19,0.7037037037037037,0.1012580681597278,0.0943846351974653
qwen_base,qwen,base,arousal,20,0.7407407407407407,0.0983490745329921,0.1015419046952779
qwen_base,qwen,base,arousal,21,0.7777777777777778,0.1118644213480988,0.1191260966882941
qwen_base,qwen,base,arousal,22,0.8148148148148148,0.1213313315555489,0.1097378426143447
qwen_base,qwen,base,arousal,23,0.8518518518518519,0.1295055293333989,0.1224656790019351
qwen_base,qwen,base,arousal,24,0.8888888888888888,0.1298690431539824,0.1143513443184558
qwen_base,qwen,base,arousal,25,0.925925925925926,0.1200883643915595,0.1221580883516464
qwen_base,qwen,base,arousal,26,0.9629629629629628,0.110792511275143,0.1232199909487711
qwen_base,qwen,base,arousal,27,1.0,0.0755581260558169,0.0896632581042703
qwen_instruct,qwen,instruct,valence,0,0.0,0.0375562455416891,0.0262998664256662
qwen_instruct,qwen,instruct,valence,1,0.037037037037037,0.074374796845682,0.0780197702653275
qwen_instruct,qwen,instruct,valence,2,0.074074074074074,0.0583471406691487,0.0776998055116471
qwen_instruct,qwen,instruct,valence,3,0.1111111111111111,0.082984371640051,0.1058694094603642
qwen_instruct,qwen,instruct,valence,4,0.1481481481481481,0.088642476639224,0.11158228549642
qwen_instruct,qwen,instruct,valence,5,0.1851851851851851,0.0860910448893423,0.1219963238719716
qwen_instruct,qwen,instruct,valence,6,0.2222222222222222,0.0840602108075451,0.1265415044693235
qwen_instruct,qwen,instruct,valence,7,0.2592592592592592,0.0899544556702516,0.1071460849270041
qwen_instruct,qwen,instruct,valence,8,0.2962962962962963,0.1213039330658288,0.1410048342085169
qwen_instruct,qwen,instruct,valence,9,0.3333333333333333,0.1076906990206437,0.1593475039658851
qwen_instruct,qwen,instruct,valence,10,0.3703703703703703,0.1411545874709882,0.1759207625054714
qwen_instruct,qwen,instruct,valence,11,0.4074074074074074,0.1063002254086155,0.1650237670361692
qwen_instruct,qwen,instruct,valence,12,0.4444444444444444,0.1261161044948043,0.2073075274493576
qwen_instruct,qwen,instruct,valence,13,0.4814814814814814,0.2086986390834601,0.2854302819104545
qwen_instruct,qwen,instruct,valence,14,0.5185185185185185,0.206582413329501,0.2485709337414199
qwen_instruct,qwen,instruct,valence,15,0.5555555555555556,0.2146950653940441,0.2633100149958566
qwen_instruct,qwen,instruct,valence,16,0.5925925925925926,0.1658798132849036,0.1906354361325306
qwen_instruct,qwen,instruct,valence,17,0.6296296296296297,0.1624059569024253,0.1858134475765498
qwen_instruct,qwen,instruct,valence,18,0.6666666666666666,0.1592927089428818,0.1651624459432755
qwen_instruct,qwen,instruct,valence,19,0.7037037037037037,0.1641616265939213,0.1650149213785199
qwen_instruct,qwen,instruct,valence,20,0.7407407407407407,0.1491529792835508,0.1842571441443589
qwen_instruct,qwen,instruct,valence,21,0.7777777777777778,0.1529429895337126,0.1850119230517589
qwen_instruct,qwen,instruct,valence,22,0.8148148148148148,0.1470592144687876,0.1749186228816677
qwen_instruct,qwen,instruct,valence,23,0.8518518518518519,0.1573068884351004,0.1808834459977287
qwen_instruct,qwen,instruct,valence,24,0.8888888888888888,0.1514319579514033,0.1784897379269066
qwen_instruct,qwen,instruct,valence,25,0.925925925925926,0.1474362185245241,0.1676430010735133
qwen_instruct,qwen,instruct,valence,26,0.9629629629629628,0.1540041908142519,0.1869515197140108
qwen_instruct,qwen,instruct,valence,27,1.0,0.1364980524952805,0.1847240619584081
qwen_instruct,qwen,instruct,arousal,0,0.0,0.0375806105184181,0.0363876680303765
qwen_instruct,qwen,instruct,arousal,1,0.037037037037037,0.0344622947639287,0.0559327744072557
qwen_instruct,qwen,instruct,arousal,2,0.074074074074074,0.0271096128451131,0.036144503519464
qwen_instruct,qwen,instruct,arousal,3,0.1111111111111111,0.0117047329027146,0.0056953279990541
qwen_instruct,qwen,instruct,arousal,4,0.1481481481481481,0.0096230707333633,0.0188371623003767
qwen_instruct,qwen,instruct,arousal,5,0.1851851851851851,-0.0051783150351494,0.0107508912466774
