model,family,alignment,layer,relative_depth,alpha,matched_shift_V,random_shift_V,specificity_V,matched_shift_A,random_shift_A,specificity_A
llama_base,llama,base,13,0.8666666666666667,0.5,-3.882120113593568e-05,-0.0001655340351291,-0.0003240031656782,1.3647890173542253e-05,-4.0874190528668304e-05,1.971705328907234e-05
llama_base,llama,base,13,0.8666666666666667,1.0,-0.0005783694057608,-0.0001384596273572,-4.54472025927734e-05,-4.034139126657399e-05,-4.431381266460088e-05,-5.204857642956326e-05
llama_base,llama,base,13,0.8666666666666667,2.0,-0.0002797931694814,-0.0001548443493643,-0.0001706412104954,-4.571383087623171e-05,-5.25540869712543e-05,-1.8789033447237187e-05
llama_instruct,llama,instruct,1,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_instruct,llama,instruct,1,0.0666666666666666,0.5,0.0009617085622663,0.0006442713505831,-0.0006622250562696,1.8714441606920703e-05,0.0002000731562157,-0.0002096755456564
llama_instruct,llama,instruct,1,0.0666666666666666,1.0,0.0006340069748159,0.0004856427907706,2.720594257374668e-05,0.0002081137923576,0.0002786739264241,-0.0001829058514599
llama_instruct,llama,instruct,1,0.0666666666666666,2.0,0.0007773468665432,0.00040765855673,0.0001651631704848,0.0002979210470892,0.0005665003268014,-0.0001505122861241
llama_instruct,llama,instruct,2,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_instruct,llama,instruct,2,0.1333333333333333,0.5,0.0004605444096665,0.0006103186596675,0.0009744044661715,3.2955875776397026e-05,8.920528582359077e-05,-0.0001369052701966
llama_instruct,llama,instruct,2,0.1333333333333333,1.0,0.0026924866189339,0.0009828562318543,-0.0003803454491758,-0.0001076905360006,0.0001981787967935,2.11738334916271e-06
llama_instruct,llama,instruct,2,0.1333333333333333,2.0,0.0030903210806236,0.001534260477988,0.0003895783789094,0.0002918498561521,0.0007163011932938,-0.0004424324277859
llama_instruct,llama,instruct,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_instruct,llama,instruct,6,0.4,0.5,0.0012861527399134,0.0004384848928186,0.0004683220260005,-0.0005475580970374,-0.0002451794153176,-0.0002990708247845
llama_instruct,llama,instruct,6,0.4,1.0,0.0005806015274376,0.0006686000489652,-0.0002382047505882,-0.0007026283067075,-0.0002394904678114,-0.0002992347757656
llama_instruct,llama,instruct,6,0.4,2.0,0.0016244853784779,0.0014568754382984,-0.000518890664204,-0.0003672086819172,0.0005037771956971,-0.0005753351242818
llama_instruct,llama,instruct,7,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_instruct,llama,instruct,7,0.4666666666666667,0.5,0.0006552345120757,0.0001473933629471,-0.0007174683653392,-0.0003173494432001,-0.0001911084574326,-0.0001707532057515
llama_instruct,llama,instruct,7,0.4666666666666667,1.0,7.475950352590448e-05,0.0003902116602288,-4.695956976335483e-05,-0.000429318383246,-0.0003077294666495,-0.0001726274275081
llama_instruct,llama,instruct,7,0.4666666666666667,2.0,0.0009630943375741,0.0005915605240058,-0.0007193299794566,-0.0006941513587183,-0.0004930374442615,-0.0001142665112884
llama_instruct,llama,instruct,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_instruct,llama,instruct,13,0.8666666666666667,0.5,-0.0002918807660392,-0.0003550772547609,-0.0001733626517272,4.465440270357927e-05,2.77497835917174e-06,-4.712884328021983e-07
llama_instruct,llama,instruct,13,0.8666666666666667,1.0,-0.0004037654211066,-0.0002104239297227,0.0001043549445311,4.211788767660707e-05,2.0814710263129406e-06,8.738326085404915e-05
llama_instruct,llama,instruct,13,0.8666666666666667,2.0,-0.000820935049585,-0.0002937746443239,9.931214254940202e-06,4.602301816943507e-05,-4.161747651878721e-05,4.079525541443168e-05
olmo_base,olmo,base,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_base,olmo,base,3,0.2,0.5,-0.0004912799664496,-7.860210280874888e-05,-6.976392865996748e-05,-0.0001717428177254,-0.0001674757173479,-4.510959544237303e-06
olmo_base,olmo,base,3,0.2,1.0,-0.0003935094748071,-0.0001489416869581,-0.0002198812172993,-0.0002456176893756,-0.0002889667942001,-5.090198193922246e-05
olmo_base,olmo,base,3,0.2,2.0,-0.0004946260170477,-9.18895071667189e-05,-0.0002537602351485,-0.000613077972617,-0.0002868818077703,-0.0003897645175057
olmo_base,olmo,base,4,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_base,olmo,base,4,0.2666666666666666,0.5,-0.0001447505425831,4.340215470510633e-05,-0.000133262997124,-0.0005037356110016,-0.0006301276391329,-3.757184579562811e-05
olmo_base,olmo,base,4,0.2666666666666666,1.0,-0.0002631205493596,-0.000263283624347,-0.0002108205140859,-0.0010698080703858,-0.0013522759605889,-8.735744109784828e-05
olmo_base,olmo,base,4,0.2666666666666666,2.0,-0.0008026308775151,-0.0005912135369879,-0.0009957846169689,-0.0026641291112037,-0.0026879983489626,-0.0004376120380967
olmo_base,olmo,base,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_base,olmo,base,6,0.4,0.5,7.841543542502771e-05,0.0002019044597834,-0.0002067635281324,-0.0001391207214823,-0.0002320838228481,-6.513116532125688e-05
olmo_base,olmo,base,6,0.4,1.0,0.0001087515242887,1.6594602630721604e-05,-0.0001106789696408,-0.0003292510759425,-0.0005508100925856,-9.751262361277137e-06
olmo_base,olmo,base,6,0.4,2.0,0.0004111953079119,-8.808217078639005e-05,-0.0003754102592266,-0.0007849368330479,-0.0012740477128663,9.520813038729108e-05
olmo_base,olmo,base,7,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_base,olmo,base,7,0.4666666666666667,0.5,0.0007423591349417,0.0006279859794799,-0.0002187785109629,-8.644675592047364e-05,-0.0001295885974617,-6.114113582881925e-05
olmo_base,olmo,base,7,0.4666666666666667,1.0,0.0014001315160397,0.0010404522399562,-3.757676408390562e-05,-2.7795546917591677e-05,-0.0003176009758002,0.0001245968420969
olmo_base,olmo,base,7,0.4666666666666667,2.0,0.0025645129185809,0.0020931085524808,-0.0006306082231067,-0.000142881829845,-0.0004993203989906,8.508580278313038e-06
olmo_base,olmo,base,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_base,olmo,base,13,0.8666666666666667,0.5,0.0004043503674817,0.0004123031820974,6.254791683781247e-05,0.0001046599886138,0.0001067719300041,1.6431516233041577e-05
olmo_base,olmo,base,13,0.8666666666666667,1.0,0.0002475486780617,0.0003542343840957,0.0001394074419051,0.0001734993456319,0.0001639862036203,1.1987467870725824e-05
olmo_base,olmo,base,13,0.8666666666666667,2.0,0.0005772314776842,0.0004693576037009,0.0001002697641932,0.0003185294969437,0.0002581141077611,3.286556321033669e-05
olmo_instruct,olmo,instruct,5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_instruct,olmo,instruct,5,0.3333333333333333,0.5,0.0002406194668867,0.0005542923437176,0.0002057636753517,-0.000262233977442,-4.787385067236554e-05,-0.0002081629097211
olmo_instruct,olmo,instruct,5,0.3333333333333333,1.0,0.0008074138164817,0.0008355297682792,2.15117131093909e-05,-0.0001827095938784,-8.637146334633299e-05,-0.0002303003939856
olmo_instruct,olmo,instruct,5,0.3333333333333333,2.0,0.0017659824595004,0.0011388003939396,-0.0005099927533536,-0.0003339992972205,-8.528579117055892e-05,-0.0002678436903945
olmo_instruct,olmo,instruct,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_instruct,olmo,instruct,6,0.4,0.5,0.0009292294169671,0.0005780990528367,-0.0002803003438055,-0.0003157408638687,-0.0001475323460692,-0.000289376120402
olmo_instruct,olmo,instruct,6,0.4,1.0,0.0009212277850815,0.0005922090875925,-0.0005034821517127,-0.0004514331786602,-0.0002985893985037,-0.0002443840254978
olmo_instruct,olmo,instruct,6,0.4,2.0,0.0010332290954794,0.0008806162298211,-0.0010812960291116,-0.0007202702384056,-0.00046662596396,-0.0003656576110169
olmo_instruct,olmo,instruct,7,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_instruct,olmo,instruct,7,0.4666666666666667,0.5,0.0005386238349068,0.0002293916281142,0.0003367617662543,-0.000363770969875,-0.0002677995350155,-0.0001685112161053
olmo_instruct,olmo,instruct,7,0.4666666666666667,1.0,0.0003362021783382,0.0001803880931518,0.0006990084176403,-0.0007080725759559,-0.0005641484559208,-0.0002802010710999
olmo_instruct,olmo,instruct,7,0.4666666666666667,2.0,-0.0003303699794346,-0.000355258017367,0.0004249129607269,-0.0012534482793802,-0.0009041629485582,-0.0005111340660064
olmo_instruct,olmo,instruct,8,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_instruct,olmo,instruct,8,0.5333333333333333,0.5,0.0002626232770128,0.0002925450165806,-0.0001591019360791,-0.0002751418281234,-0.0003078039730382,-5.6076018874381966e-05
olmo_instruct,olmo,instruct,8,0.5333333333333333,1.0,9.411021699190504e-05,0.0003544459315107,0.0003127377383619,-0.0006484732225653,-0.0006985847284269,-2.380473677643889e-06
olmo_instruct,olmo,instruct,8,0.5333333333333333,2.0,0.0004999430107598,0.0002785712593727,0.0007014880535735,-0.0013929924918035,-0.0014137489035122,-0.0001654010770075
olmo_instruct,olmo,instruct,13,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olmo_instruct,olmo,instruct,13,0.8666666666666667,0.5,0.0003313190740608,0.0002604266338772,0.0001406402553076,0.0001088806246145,5.1202088563176895e-05,5.2248249505052366e-05
olmo_instruct,olmo,instruct,13,0.8666666666666667,1.0,0.0002972708969083,0.0003000831366601,0.0001247149752778,0.0001069423282893,9.125581872635644e-05,2.188189611262062e-06
olmo_instruct,olmo,instruct,13,0.8666666666666667,2.0,0.0003630814601509,0.0004420252465003,4.73125354235926e-06,0.0001546058719638,9.49944678270175e-05,-8.175362481065152e-06
qwen_base,qwen,base,11,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_base,qwen,base,11,0.4074074074074074,0.5,0.000177410697147,-0.0002958485493559,0.0001236649707848,-0.0001505607512259,3.97494656319016e-05,1.0040460170183495e-05
qwen_base,qwen,base,11,0.4074074074074074,1.0,0.0004472834873492,-0.0005823247619738,0.0004412125283874,-9.780724513505644e-05,4.390429097647364e-05,-7.050781809203043e-05
qwen_base,qwen,base,11,0.4074074074074074,2.0,-0.0003605038421156,-0.0015494813906695,5.2228174266393066e-05,-0.0001895746517706,-0.0001904683054576,0.0001641966065066
qwen_base,qwen,base,12,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_base,qwen,base,12,0.4444444444444444,0.5,0.0003478625947988,-0.000310844173479,8.02452863752343e-05,-5.564857092180131e-05,0.0001240792560698,-0.000119674810267
qwen_base,qwen,base,12,0.4444444444444444,1.0,0.0001507004979351,-0.0004664455982212,0.000772979148319,-5.57839975310707e-06,0.0002656533156288,-1.1565530685201318e-05
qwen_base,qwen,base,12,0.4444444444444444,2.0,-0.0004250303275992,-0.0012782636740085,-0.0002522239459432,0.0001197792391671,0.0003158306919116,0.0001400102804577
qwen_base,qwen,base,13,0.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_base,qwen,base,13,0.4814814814814814,0.5,-0.0002399600133475,-0.0007744451321343,0.0001794844332417,0.0001302201182873,0.0002237126872956,0.0001576524495495
qwen_base,qwen,base,13,0.4814814814814814,1.0,-0.000237203206081,-0.0013034647296202,0.0002141588247562,0.0002141305076646,0.0004300266775443,-1.9479570308645288e-05
qwen_base,qwen,base,13,0.4814814814814814,2.0,-0.0018599282189512,-0.0030789415003471,-0.0002273052877505,0.0006001264935272,0.0006940296417753,0.0001834531735807
qwen_base,qwen,base,23,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_base,qwen,base,23,0.8518518518518519,0.5,-0.0001324115152299,-0.0003124555101212,-7.931499952723665e-05,3.4269408608206264e-05,2.198411393881015e-05,1.3502477601688231e-05
qwen_base,qwen,base,23,0.8518518518518519,1.0,-0.0006262569620771,-0.0003995360299892,-0.0005454344683668,-0.0001234448178515,-1.1377018515759668e-05,-9.32108256083003e-05
qwen_base,qwen,base,23,0.8518518518518519,2.0,-0.0001466735726657,-0.0007175473518627,9.896343842186508e-05,-0.0001450051554803,-8.224263744994373e-05,-0.0001039577858724
qwen_instruct,qwen,instruct,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_instruct,qwen,instruct,0,0.0,0.5,-0.0006961528942388,-0.0003174178934736,0.0004068533439494,-4.524165378804365e-05,-6.417700211626686e-05,0.0001855424516342
qwen_instruct,qwen,instruct,0,0.0,1.0,0.0006335152842743,-0.0001308644736604,0.0002802161519279,-0.0001012496117918,-0.0001181598045972,-2.656208302031227e-05
qwen_instruct,qwen,instruct,0,0.0,2.0,-1.1174421882300296e-05,-4.8862210884750825e-05,-0.0002482852021736,-0.0002456365831574,-0.0002473194685629,-7.069273854295598e-05
qwen_instruct,qwen,instruct,1,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_instruct,qwen,instruct,1,0.037037037037037,0.5,-0.0005235902183094,-0.0002702566467903,0.0002154479326935,-5.1909770965669066e-05,-0.0002631893841622,0.0002328588486173
qwen_instruct,qwen,instruct,1,0.037037037037037,1.0,-0.0002621262145757,-0.0001791142925901,-0.0002976356187076,-0.0004283996783254,-0.0003572230265548,-2.404940433694408e-05
qwen_instruct,qwen,instruct,1,0.037037037037037,2.0,0.0001576308244432,-0.0001301531118684,-0.0003916726731351,-0.0007392009404739,-0.0006263461427087,-0.0002365379590398
qwen_instruct,qwen,instruct,4,0.1481481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_instruct,qwen,instruct,4,0.1481481481481481,0.5,-0.0003443848790758,-0.0002132705940446,-0.0004209005302725,-0.0003162859181829,-5.316386392452639e-05,-0.000127108289011
qwen_instruct,qwen,instruct,4,0.1481481481481481,1.0,-0.0002774970116308,-0.0002307367006076,0.000208409878643,-1.3004707530387776e-06,-0.0001558138987301,0.0002151456765418
qwen_instruct,qwen,instruct,4,0.1481481481481481,2.0,0.0001195600749675,-4.953778464084983e-06,0.0001955228027356,-0.0006921799056042,-0.0003739996649189,-0.0001267890078587
qwen_instruct,qwen,instruct,5,0.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_instruct,qwen,instruct,5,0.1851851851851851,0.5,-9.443555906468726e-05,-0.0001337578403762,-0.0001427019734669,-0.0003683428717429,-0.0002187410389181,2.5979475520943507e-05
qwen_instruct,qwen,instruct,5,0.1851851851851851,1.0,-0.0003198542034997,-9.895043652261345e-05,0.0001565990274326,-0.0001834466433668,-0.0003691928072749,0.0001363664669193
qwen_instruct,qwen,instruct,5,0.1851851851851851,2.0,0.000136670135806,6.486642373216047e-05,0.0001369393921415,-0.0010441902164601,-0.0007820121036234,-0.0001009601959714
qwen_instruct,qwen,instruct,23,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_instruct,qwen,instruct,23,0.8518518518518519,0.5,0.0003383684829397,0.0001802449841542,-0.0001330723119218,-0.0001498185490341,5.437836343927943e-05,-0.0001649576102968
qwen_instruct,qwen,instruct,23,0.8518518518518519,1.0,6.601368996012047e-05,3.697768671085486e-05,-0.0001837652986764,2.847729284673657e-05,4.41893160450559e-05,-6.434228562909964e-05
qwen_instruct,qwen,instruct,23,0.8518518518518519,2.0,0.0001688637353897,5.425392546693404e-05,0.0001482857351621,2.868860453811295e-05,3.150083015956059e-06,4.596315957762972e-06
