stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,spearman_rho,0.0790698537141176,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,valence,emobank_human_grounding,mae,1.9815312226764927,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,pearson_r,0.2542695988972565,,,,3.2084846404564343e-16,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,spearman_rho,0.2191405969498081,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,arousal,emobank_human_grounding,mae,1.78160679603205,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,pearson_r,0.1788600225289902,,,,1.2340128919820093e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,spearman_rho,0.1809663924131953,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,gemma,instruct,self,dominance,emobank_human_grounding,mae,1.9151826461964545,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,pearson_r,0.1210977480434254,,,,0.0001236406229186,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,spearman_rho,0.1637172495305192,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,valence,emobank_human_grounding,mae,1.974368300214848,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,pearson_r,-0.0095134988493912,,,,0.7638157951824893,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,spearman_rho,-0.0070187066512578,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,arousal,emobank_human_grounding,mae,1.9571013720999129,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,pearson_r,-0.0212662397807057,,,,0.5017540655291305,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,spearman_rho,-0.0092437231591039,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,writer,dominance,emobank_human_grounding,mae,1.8686137450850544,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,pearson_r,0.1292948566442626,,,,4.117729177782964e-05,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,spearman_rho,0.1683995812577901,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,valence,emobank_human_grounding,mae,1.9676120944995752,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,pearson_r,0.1229684713330184,,,,9.677224830386864e-05,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,spearman_rho,0.0995754647707145,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,arousal,emobank_human_grounding,mae,1.9214156915338896,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,pearson_r,0.0254740186874259,,,,0.4210030627727024,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,spearman_rho,0.0185704206419266,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,reader,dominance,emobank_human_grounding,mae,1.9114523033179909,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,valence,emobank_human_grounding,pearson_r,0.1092105901248717,,,,0.0005410281623483,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,valence,emobank_human_grounding,spearman_rho,0.1496045380565104,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,valence,emobank_human_grounding,mae,1.970208664410972,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,arousal,emobank_human_grounding,pearson_r,0.074243442529737,,,,0.0188700328393887,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,arousal,emobank_human_grounding,spearman_rho,0.0570422009942909,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,arousal,emobank_human_grounding,mae,1.9243292165630368,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,pearson_r,0.0174053258321366,,,,0.582485388408348,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,spearman_rho,0.0087298979652594,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,base,self,dominance,emobank_human_grounding,mae,1.9187443375630235,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,pearson_r,0.1744608836825858,,,,2.8133339923741e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,spearman_rho,0.173349755398031,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,valence,emobank_human_grounding,mae,2.099574581862538,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,pearson_r,0.1735167927408301,,,,3.3485755392529796e-08,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,spearman_rho,0.1241925606261468,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,arousal,emobank_human_grounding,mae,1.8770447030923396,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,pearson_r,0.1457475318473592,,,,3.693741909911707e-06,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,spearman_rho,0.1244407816908748,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,writer,dominance,emobank_human_grounding,mae,1.8315472668315869,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,valence,emobank_human_grounding,pearson_r,0.0982570983395305,,,,0.0018657731425713,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,valence,emobank_human_grounding,spearman_rho,0.1414084033457249,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,valence,emobank_human_grounding,mae,2.0987543292214457,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,arousal,emobank_human_grounding,pearson_r,0.2974722539657087,,,,7.006065616063202e-22,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,arousal,emobank_human_grounding,spearman_rho,0.2665944745193102,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,arousal,emobank_human_grounding,mae,1.8348915332881637,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,reader,dominance,emobank_human_grounding,pearson_r,0.2161403490015679,,,,4.907510049523606e-12,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,dominance,emobank_human_grounding,spearman_rho,0.1970747361720814,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,llama,instruct,reader,dominance,emobank_human_grounding,mae,1.8687294372146943,,,,,,1000,False,secondary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,mae
behavioral,rq1_emobank_correspondence,llama,instruct,self,valence,emobank_human_grounding,pearson_r,0.0452402468724488,,,,0.1528419422324458,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
