id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
Bm-vigilance-d1-v1,res_10,5.81640625,5.82421875,5.8359375,1.1429910447733191,1.1525531329901637,1.1644042181226921,0.0078125,0.01953125,0.009562088216844566,0.021413173349372983,0.1478271484375,0.14892578125,0.1531982421875
Bm-vigilance-d3-v2,res_10,4.89453125,4.94140625,4.8984375,0.7767114963009526,0.7907421087016997,0.7897140816849954,0.046875,0.00390625,0.0140306124007471,0.013002585384042753,0.185791015625,0.1937255859375,0.191650390625
N-grief-d1-c1,res_10,6.48046875,6.49609375,6.5078125,1.4010193604616306,1.4171091975086632,1.4315829586655853,0.015625,0.02734375,0.016089837047032596,0.03056359820395471,0.07177734375,0.07342529296875,0.07318115234375
N-grief-d2-c1,res_10,6.4609375,6.47265625,6.47265625,1.4365799955616874,1.454388904034321,1.45348528464411,0.01171875,0.01171875,0.01780890847263361,0.016905289082422614,0.0782470703125,0.079833984375,0.0809326171875
N-grief-d3-c1,res_10,6.81640625,6.8203125,6.82421875,1.3854496861857397,1.3957330775514696,1.395354736057443,0.00390625,0.0078125,0.010283391365729866,0.009905049871703264,0.0279541015625,0.028289794921875,0.02825927734375
N-terror-d2-c1,res_10,6.66796875,6.6796875,6.6875,1.0477793928305497,1.0714089942133098,1.0683542733985696,0.01171875,0.01953125,0.023629601382760157,0.020574880568019926,0.046234130859375,0.046722412109375,0.047271728515625
N-ecstasy-d2-c1,res_10,6.5703125,6.5859375,6.5703125,1.1059136111694634,1.1282025943449525,1.1111725980086247,0.015625,0.0,0.022288983175489108,0.0052589868391612615,0.0643310546875,0.06390380859375,0.06414794921875
N-loathing-d3-c1,res_10,6.77734375,6.79296875,6.80078125,1.1432683158750407,1.1599087673599948,1.1700664078739966,0.015625,0.0234375,0.016640451484954077,0.026798091998955886,0.037353515625,0.03692626953125,0.036224365234375
N-amazement-d1-c2,res_10,6.28125,6.2890625,6.29296875,1.507448066951244,1.5189808079686982,1.5256840102856835,0.0078125,0.01171875,0.011532741017454162,0.018235943334439453,0.09637451171875,0.0968017578125,0.09320068359375
N-amazement-d3-c1,res_10,6.3046875,6.3203125,6.31640625,1.432919083357306,1.4473487194129886,1.4480794589686958,0.015625,0.01171875,0.014429636055682593,0.015160375611389831,0.09906005859375,0.10003662109375,0.0982666015625
N-vigilance-d1-c1,res_10,6.140625,6.15625,6.1796875,1.1623901116807227,1.1772796521442976,1.1989936433892119,0.015625,0.0390625,0.014889540463574935,0.03660353170848918,0.10723876953125,0.1107177734375,0.11114501953125
