id,BBB_Ev,BBB_Ea,BBB_p55,BBB_ent,BBB_wd,BBB_jsd,BBB_emd2d,III_Ev,III_Ea,III_p55,III_ent,III_wd,III_jsd,III_emd2d,BBI_Ev,BBI_Ea,BBI_p55,BBI_ent,BBI_wd,BBI_jsd,BBI_emd2d,IIB_Ev,IIB_Ea,IIB_p55,IIB_ent,IIB_wd,IIB_jsd,IIB_emd2d,BIB_Ev,BIB_Ea,BIB_p55,BIB_ent,BIB_wd,BIB_jsd,BIB_emd2d,BII_Ev,BII_Ea,BII_p55,BII_ent,BII_wd,BII_jsd,BII_emd2d,IBB_Ev,IBB_Ea,IBB_p55,IBB_ent,IBB_wd,IBB_jsd,IBB_emd2d,IBI_Ev,IBI_Ea,IBI_p55,IBI_ent,IBI_wd,IBI_jsd,IBI_emd2d
Bm-grief-d1-v1,5.141206694881382,4.983894435720711,0.012645107286959091,4.386881038548933,0.0,0.0,0.0,5.187262616791698,4.754120210313982,0.013148291916108657,4.366288927974463,0.19033325805584833,0.005021471081776751,0.3163760589106855,5.12044328963825,4.9690227011350325,0.012590591596808792,4.387742199041545,0.02076340524313114,2.8032332374355884e-05,0.026021030238812203,5.211332182623011,4.785272780327324,0.013267789682033064,4.365989671304048,0.19824358242415682,0.004976526010133929,0.3056857364395775,5.141206694881382,4.983894435720711,0.012645107286959091,4.386881038548933,0.0,0.0,0.0,5.12044328963825,4.9690227011350325,0.012590591596808792,4.387742199041545,0.02076340524313114,2.8032332374355884e-05,0.026021030238812203,5.211332182623011,4.785272780327324,0.013267789682033064,4.365989671304048,0.19824358242415682,0.004976526010133929,0.3056857364395775,5.187262616791698,4.754120210313982,0.013148291916108657,4.366288927974463,0.19033325805584833,0.005021471081776751,0.3163760589106855
Bm-grief-d2-v1,4.996686745773913,4.978098413663539,0.01213193908276087,4.390885329418492,0.0,0.0,0.0,4.69226765024184,4.8240693641377055,0.01241522003326958,4.378548041047926,0.30441909553207014,0.003436949318205295,0.35110543647906295,4.983862895032723,4.9650288419355775,0.012252868521817187,4.390905951239185,0.012823850741188483,1.7889205789553442e-05,0.0188162407669495,4.713619557409099,4.855455662813313,0.012528859440736147,4.379738607603036,0.2830671883648134,0.003214228355492667,0.32002266536723845,4.996686745773913,4.978098413663539,0.01213193908276087,4.390885329418492,0.0,0.0,0.0,4.983862895032723,4.9650288419355775,0.012252868521817187,4.390905951239185,0.012823850741188483,1.7889205789553442e-05,0.0188162407669495,4.713619557409099,4.855455662813313,0.012528859440736147,4.379738607603036,0.2830671883648134,0.003214228355492667,0.32002266536723845,4.69226765024184,4.8240693641377055,0.01241522003326958,4.378548041047926,0.30441909553207014,0.003436949318205295,0.35110543647906295
Bm-grief-d3-v1,5.1084848890477925,4.9728467609042095,0.01291513998055012,4.388340991572906,0.0,0.0,0.0,5.082330925638294,4.776969737166075,0.014593930923756325,4.369077649299493,0.1654647957834108,0.004595744010073508,0.277913936564403,5.09818029454193,4.955973528946474,0.013013228497122439,4.388489409933501,0.010304594505862977,2.4519051760247513e-05,0.020788396900928614,5.0989092823795445,4.8135025942645635,0.014448989540246919,4.368580470969899,0.16784406067177432,0.004637336925731596,0.2635505337863224,5.1084848890477925,4.9728467609042095,0.01291513998055012,4.388340991572906,0.0,0.0,0.0,5.09818029454193,4.955973528946474,0.013013228497122439,4.388489409933501,0.010304594505862977,2.4519051760247513e-05,0.020788396900928614,5.0989092823795445,4.8135025942645635,0.014448989540246919,4.368580470969899,0.16784406067177432,0.004637336925731596,0.2635505337863224,5.082330925638294,4.776969737166075,0.014593930923756325,4.369077649299493,0.1654647957834108,0.004595744010073508,0.277913936564403
Bm-terror-d2-v1,5.057555423260024,4.988796368907046,0.01278210913478611,4.389236561275357,0.0,0.0,0.0,5.0241733260556245,4.849725842817365,0.013403129807421603,4.380306270611572,0.11534821383731728,0.0027517562383811466,0.19802164108990636,5.051496294362818,4.974637806146613,0.012779139218383405,4.389455796034175,0.007754510228088887,2.3238212794756767e-05,0.017417582139247552,5.039130739697065,4.8741833480930845,0.013289184555945946,4.379698050648552,0.11904904061568818,0.0028153406517427916,0.19026639558486882,5.057555423260024,4.988796368907046,0.01278210913478611,4.389236561275357,0.0,0.0,0.0,5.051496294362818,4.974637806146613,0.012779139218383405,4.389455796034175,0.007754510228088887,2.3238212794756767e-05,0.017417582139247552,5.039130739697065,4.8741833480930845,0.013289184555945946,4.379698050648552,0.11904904061568818,0.0028153406517427916,0.19026639558486882,5.0241733260556245,4.849725842817365,0.013403129807421603,4.380306270611572,0.11534821383731728,0.0027517562383811466,0.19802164108990636
Bm-ecstasy-d2-v1,5.0987573278189045,4.984551377095352,0.012784807320265244,4.386751325704143,0.0,0.0,0.0,5.173915834534354,4.782061829428925,0.012914525049653233,4.373033153118184,0.14207055004171182,0.0032140638321810065,0.270222127779005,5.085491551105712,4.9742868259857085,0.012862993201838807,4.387497942652555,0.013887826196200742,2.4285472857079127e-05,0.018650798910650204,5.190199905727988,4.816356868183014,0.013099906194954608,4.372300634461932,0.1493942090001579,0.003311531484755107,0.2610640095026783,5.0987573278189045,4.984551377095352,0.012784807320265244,4.386751325704143,0.0,0.0,0.0,5.085491551105712,4.9742868259857085,0.012862993201838807,4.387497942652555,0.013887826196200742,2.4285472857079127e-05,0.018650798910650204,5.190199905727988,4.816356868183014,0.013099906194954608,4.372300634461932,0.1493942090001579,0.003311531484755107,0.2610640095026783,5.173915834534354,4.782061829428925,0.012914525049653233,4.373033153118184,0.14207055004171182,0.0032140638321810065,0.270222127779005
Bm-loathing-d3-v1,4.999091477721177,5.005242162318454,0.01275395447384272,4.390926523633809,0.0,0.0,0.0,4.418607926697232,5.068670931360122,0.011945146748801115,4.364121669818301,0.5804835510239446,0.007573690465506168,0.5896913426202062,4.99102211963005,4.9958095742951025,0.012866333007814307,4.390994459694936,0.008069358091125037,1.1843106481836452e-05,0.013390797291836589,4.462433064878105,5.143369907987353,0.012396752397884896,4.366166958952869,0.5366584128430701,0.007064940659801338,0.5678446558145244,4.999091477721177,5.005242162318454,0.01275395447384272,4.390926523633809,0.0,0.0,0.0,4.99102211963005,4.995809574295102,0.012866333007814305,4.390994459694936,0.00806935809112505,1.1843106481839093e-05,0.013390797291836447,4.462433064878105,5.143369907987353,0.012396752397884896,4.366166958952869,0.5366584128430701,0.007064940659801338,0.5678446558145244,4.418607926697232,5.068670931360122,0.011945146748801115,4.364121669818301,0.5804835510239446,0.007573690465506168,0.5896913426202062
Bm-amazement-d1-v2,5.184673890637305,4.989344525161289,0.012948573452378572,4.386370394604627,0.0,0.0,0.0,5.512736965016069,4.875070310121352,0.011591999188916284,4.361073836826466,0.3280630743787659,0.00447031694528521,0.37605526011978047,5.167537622040579,4.977595480963825,0.012870542774304562,4.386849221917082,0.017136268596722667,3.4397395429485864e-05,0.021574876725071756,5.535098918139905,4.929870373888889,0.01175419175655099,4.359073293475602,0.35042502750260196,0.004816352973302975,0.3845755836991297,5.184673890637305,4.989344525161289,0.012948573452378572,4.386370394604627,0.0,0.0,0.0,5.167537622040579,4.977595480963825,0.012870542774304562,4.386849221917082,0.017136268596722667,3.4397395429485864e-05,0.021574876725071756,5.535098918139905,4.929870373888889,0.01175419175655099,4.359073293475602,0.35042502750260196,0.004816352973302975,0.3845755836991297,5.512736965016069,4.875070310121352,0.011591999188916284,4.361073836826466,0.3280630743787659,0.00447031694528521,0.37605526011978047
Bm-amazement-d3-v1,5.112966078649307,4.983714133266081,0.012641177636811923,4.387747209716941,0.0,0.0,0.0,5.111055165325091,4.994757305383426,0.013221042521460238,4.381705545349168,0.0841490125359303,0.0017774775459022622,0.1284766463121804,5.094755259651244,4.970103478823128,0.012765479099547266,4.38810897730754,0.018210818998062928,3.3830301145796464e-05,0.023296574123098417,5.131779416413171,5.028757481041686,0.013288037463811549,4.38080498614821,0.0923748384182247,0.0019505375692080093,0.1468748319178199,5.112966078649307,4.983714133266081,0.012641177636811923,4.387747209716941,0.0,0.0,0.0,5.094755259651244,4.970103478823128,0.012765479099547266,4.38810897730754,0.018210818998062928,3.3830301145796464e-05,0.023296574123098417,5.131779416413171,5.028757481041686,0.013288037463811549,4.38080498614821,0.0923748384182247,0.0019505375692080093,0.1468748319178199,5.111055165325091,4.994757305383426,0.013221042521460238,4.381705545349168,0.0841490125359303,0.0017774775459022622,0.1284766463121804
Bm-vigilance-d1-v1,5.108715445614857,4.969161178732849,0.01274799695566469,4.389154473501278,0.0,0.0,0.0,5.1347453383361845,4.82816447707841,0.013793702504143841,4.373458651694486,0.16163910212602656,0.0034184951307972434,0.2356297119419272,5.089003813638645,4.956945529754283,0.012963063422075507,4.389676028580278,0.01971163197621159,2.6620109260036087e-05,0.024057937732689022,5.148357774267408,4.859463022584033,0.013990044393758071,4.3734532187355715,0.16517395182160627,0.003447980324271554,0.22842973509256115,5.108715445614857,4.969161178732849,0.01274799695566469,4.389154473501278,0.0,0.0,0.0,5.089003813638645,4.956945529754283,0.012963063422075507,4.389676028580278,0.01971163197621159,2.6620109260036087e-05,0.024057937732689022,5.148357774267408,4.859463022584033,0.013990044393758071,4.3734532187355715,0.16517395182160627,0.003447980324271554,0.22842973509256115,5.1347453383361845,4.82816447707841,0.013793702504143841,4.373458651694486,0.16163910212602656,0.0034184951307972434,0.2356297119419272
Bm-vigilance-d3-v2,5.0391926062954076,5.0381419864298245,0.012704757150506214,4.389066587919329,0.0,0.0,0.0,4.948789627444854,4.883789086853773,0.014004953441292593,4.3795122172459635,0.12101722370955112,0.003093526430622482,0.2250154654976603,5.031610756581144,5.022887754288678,0.012709432351475395,4.389128781162364,0.007581849714262845,1.9745143432776423e-05,0.017675226251666686,4.9674375789154235,4.91435548990447,0.014132765728627155,4.378831987735357,0.11983983734814198,0.0031592447983058557,0.2091741294380108,5.0391926062954076,5.0381419864298245,0.012704757150506214,4.389066587919329,0.0,0.0,0.0,5.031610756581144,5.022887754288678,0.012709432351475395,4.389128781162364,0.007581849714262845,1.9745143432776423e-05,0.017675226251666686,4.9674375789154235,4.91435548990447,0.014132765728627155,4.378831987735357,0.11983983734814198,0.0031592447983058557,0.2091741294380108,4.948789627444854,4.883789086853773,0.014004953441292593,4.3795122172459635,0.12101722370955112,0.003093526430622482,0.2250154654976603
N-grief-d1-c1,5.097395952050974,4.97973242297931,0.012633147714900596,4.388296816148142,0.0,0.0,0.0,5.233343553802296,4.841908495087071,0.013482262913119788,4.3671816317523335,0.19586147203090465,0.004100653601296483,0.2800632680132688,5.07878022987295,4.967882949755681,0.012686445769529587,4.388732123632375,0.018615722178025457,2.0924245415416062e-05,0.022795040623106517,5.248836062767534,4.875980166336165,0.013562925107370675,4.3657730136887505,0.21092483543502294,0.00436113465113313,0.28267954520121785,5.097395952050974,4.97973242297931,0.012633147714900596,4.388296816148142,0.0,0.0,0.0,5.07878022987295,4.967882949755681,0.012686445769529587,4.388732123632375,0.018615722178025457,2.0924245415416062e-05,0.022795040623106517,5.248836062767534,4.875980166336165,0.013562925107370675,4.3657730136887505,0.21092483543502294,0.00436113465113313,0.28267954520121785,5.233343553802296,4.841908495087071,0.013482262913119788,4.3671816317523335,0.19586147203090465,0.004100653601296483,0.2800632680132688
N-grief-d2-c1,5.103575140494871,4.996008610802138,0.01263170818852736,4.387743943846837,0.0,0.0,0.0,5.186311709046236,4.8946032597719356,0.013124590228030818,4.3737758235063,0.14147830280566215,0.00304926813662723,0.2187770612847361,5.097328611719694,4.981757485575005,0.012564370634496742,4.388168362655545,0.00624652877517913,1.980025030700145e-05,0.016533396002642586,5.2067492032364475,4.935315608600941,0.013282670005145374,4.37255013528515,0.15873877397330385,0.003257991194346222,0.22457409183816743,5.103575140494871,4.996008610802138,0.01263170818852736,4.387743943846837,0.0,0.0,0.0,5.097328611719694,4.981757485575005,0.012564370634496742,4.388168362655545,0.00624652877517913,1.980025030700145e-05,0.016533396002642586,5.2067492032364475,4.935315608600941,0.013282670005145374,4.37255013528515,0.15873877397330385,0.003257991194346222,0.22457409183816743,5.186311709046236,4.8946032597719356,0.013124590228030818,4.3737758235063,0.14147830280566215,0.00304926813662723,0.2187770612847361
N-grief-d3-c1,5.112035777351206,5.021074526865155,0.012761076185583723,4.387955425116891,0.0,0.0,0.0,5.317123288190382,4.900683251054236,0.013324288592128685,4.362298507864043,0.2527493875485002,0.004999932611821873,0.3199262512941422,5.1062006234013895,5.006731701069743,0.01282164478048074,4.388148327119149,0.006930068468380901,2.1422268758514568e-05,0.016685442818011032,5.330315031685883,4.929049193463322,0.013315140658797953,4.3603348396494725,0.2666274063620311,0.005331854510964847,0.32696170807483077,5.112035777351206,5.021074526865155,0.012761076185583723,4.387955425116891,0.0,0.0,0.0,5.1062006234013895,5.006731701069743,0.01282164478048074,4.388148327119149,0.006930068468380901,2.1422268758514568e-05,0.016685442818011032,5.330315031685883,4.929049193463322,0.013315140658797953,4.3603348396494725,0.2666274063620311,0.005331854510964847,0.32696170807483077,5.317123288190382,4.900683251054236,0.013324288592128685,4.362298507864043,0.2527493875485002,0.004999932611821873,0.3199262512941422
N-terror-d2-c1,5.134519287152974,5.027710325909217,0.012938774167335161,4.386645718708943,0.0,0.0,0.0,5.2447956506125255,4.90505062401258,0.01272306085481194,4.3787199275168565,0.13307387146849126,0.0022068370435853724,0.21319556392320246,5.11828806127522,5.0146739965614895,0.012777039441719757,4.387363263740033,0.01623122587775641,2.041728146436022e-05,0.021565975450335645,5.250278859310412,4.932656778940085,0.012714823391006921,4.377890802333403,0.14049188459101838,0.0022834544693141343,0.20958653163657215,5.134519287152974,5.027710325909217,0.012938774167335161,4.386645718708943,0.0,0.0,0.0,5.11828806127522,5.0146739965614895,0.012777039441719757,4.387363263740033,0.01623122587775641,2.041728146436022e-05,0.021565975450335645,5.250278859310412,4.932656778940085,0.012714823391006921,4.377890802333403,0.14049188459101838,0.0022834544693141343,0.20958653163657215,5.2447956506125255,4.90505062401258,0.01272306085481194,4.3787199275168565,0.13307387146849126,0.0022068370435853724,0.21319556392320246
