layer,component,probe_r2,mean_ot_recovery,median_ot_recovery,mean_ot_displacement,mean_marg_recovery,valid_pairs,model_name
13,resid,0.48868927115890604,0.6143906772058515,0.03971288827836483,0.1313640895652492,0.7902460372906817,12,Qwen/Qwen2.5-1.5B-Instruct
14,mlp,0.5372225943587466,1.3504733153288893,1.2902907544383224,0.13071953765239525,1.5530364232957914,12,Qwen/Qwen2.5-1.5B-Instruct
14,attn,0.531314161711314,-0.3559976867418305,0.13616866706783193,0.1319635864425354,-0.3010329882585918,12,Qwen/Qwen2.5-1.5B-Instruct
14,resid,0.5016090097253643,0.7142530118863409,1.5653279326301506,0.13105880790836347,0.9696093821642502,12,Qwen/Qwen2.5-1.5B-Instruct
15,mlp,0.5610213134880262,0.9959048177575138,0.7247916402207066,0.13073709204042522,1.091204487842242,12,Qwen/Qwen2.5-1.5B-Instruct
15,attn,0.5216718512558087,-0.5186242710285162,-0.18312711192609576,0.1329229503199383,-0.38550832268518986,12,Qwen/Qwen2.5-1.5B-Instruct
15,resid,0.486193352704965,0.2537692895846414,-0.2547867326019415,0.1319420252930041,0.4120374811196213,12,Qwen/Qwen2.5-1.5B-Instruct
16,mlp,0.5158185707332452,1.0232473013986796,0.7352031844925278,0.13077376631797358,1.2039576435712351,12,Qwen/Qwen2.5-1.5B-Instruct
16,attn,0.4912982682730477,0.9818583429532568,0.9464815424426565,0.13077819107185282,1.1464214768139338,12,Qwen/Qwen2.5-1.5B-Instruct
16,resid,0.47048350657078997,1.6778772367466859,0.8417120583841142,0.1300072666407736,1.8563615594774985,12,Qwen/Qwen2.5-1.5B-Instruct
17,mlp,0.4771971597509498,-0.04466935948296742,-0.15382047740117866,0.13300673015911166,-0.017114658534164717,12,Qwen/Qwen2.5-1.5B-Instruct
17,attn,0.49355657005229014,-0.04394341020800645,0.08183103580253204,0.13249240440220816,0.1352224007980009,12,Qwen/Qwen2.5-1.5B-Instruct
17,resid,0.4431816589613349,1.3399651430134671,1.2963253573121891,0.13124669757801674,1.8072132876144213,12,Qwen/Qwen2.5-1.5B-Instruct
18,mlp,0.5513253107247977,-0.4263181853349507,-0.5336131290236912,0.13225710165584192,0.10655432991582188,12,Qwen/Qwen2.5-1.5B-Instruct
18,attn,0.5494755095533401,0.04097108008349799,0.14382348115256627,0.1328903647993458,0.3973869547106,12,Qwen/Qwen2.5-1.5B-Instruct
18,resid,0.48477868555050496,-0.577355752286977,-0.0511932372143753,0.13272865197843467,-0.07512274954407927,12,Qwen/Qwen2.5-1.5B-Instruct
19,mlp,0.44338873577793303,-0.15260879668035726,-0.14057421400595627,0.13283802771777,-0.10158067404740696,12,Qwen/Qwen2.5-1.5B-Instruct
19,attn,0.4482967706981994,-0.17529142706805556,0.866099366752282,0.13186032091897018,-0.18068029918949974,12,Qwen/Qwen2.5-1.5B-Instruct
19,resid,0.43296671344523985,0.8077596872205578,0.1652817185869515,0.131473846937887,1.0339654024740326,12,Qwen/Qwen2.5-1.5B-Instruct
20,mlp,0.4865632004374768,-0.3796543746928718,0.15076556883673042,0.13291173930452727,-0.2863175152407591,12,Qwen/Qwen2.5-1.5B-Instruct
20,attn,0.4602461744702282,1.4814452521309982,0.7508796245046523,0.1313609606886773,1.8529124966877735,12,Qwen/Qwen2.5-1.5B-Instruct
20,resid,0.4007587681949353,0.6492834543307392,0.524507202842428,0.13146481775895966,1.0232629067270413,12,Qwen/Qwen2.5-1.5B-Instruct
21,mlp,0.52226955518876,0.6199668568496057,0.09342940386572463,0.13194773014937702,0.6794394169064549,12,Qwen/Qwen2.5-1.5B-Instruct
21,attn,0.48586462383686235,0.2052054112102112,0.801123322217473,0.132167075092453,0.4778075216870477,12,Qwen/Qwen2.5-1.5B-Instruct
21,resid,0.3902935345391536,0.847107244503185,0.5683749207631539,0.13104385141585023,0.9385169632960535,12,Qwen/Qwen2.5-1.5B-Instruct
22,mlp,0.39233286396952094,0.15676953974212887,0.07925486856654174,0.13219594938344495,0.18267873740604085,12,Qwen/Qwen2.5-1.5B-Instruct
22,attn,0.40761005317412835,0.9566263428152311,0.24034800933257494,0.131524298188292,1.1438816337808273,12,Qwen/Qwen2.5-1.5B-Instruct
22,resid,0.21934710510476774,0.3133800510656334,0.2662128002106856,0.132007451597799,0.3806950375921936,12,Qwen/Qwen2.5-1.5B-Instruct
23,mlp,0.3773972733064256,0.5163802987045857,0.15559097297234703,0.1316175682050425,0.7421404043418605,12,Qwen/Qwen2.5-1.5B-Instruct
23,attn,0.4513671634802343,1.2279859172012333,0.5885524571722145,0.13097380251869004,1.3131860319967872,12,Qwen/Qwen2.5-1.5B-Instruct
23,resid,0.21073558706035356,1.3146283438252924,0.5701259470236197,0.13113553641229161,1.3803255794946558,12,Qwen/Qwen2.5-1.5B-Instruct
24,mlp,0.3513668242171475,0.8357605390434925,0.21174757471372208,0.13140389606759603,0.8607205086694011,12,Qwen/Qwen2.5-1.5B-Instruct
24,attn,0.4072362255507739,0.608798103963204,0.5286767360332456,0.1315508835708521,0.6088274447417292,12,Qwen/Qwen2.5-1.5B-Instruct
24,resid,0.14695431552817229,-0.0007877494936562682,0.11564702608978794,0.13263509691428627,-0.01174617809842719,12,Qwen/Qwen2.5-1.5B-Instruct
25,mlp,0.31783655178942916,-0.3619200407967852,0.13673997773829827,0.13247001421839147,-0.3414498501750981,12,Qwen/Qwen2.5-1.5B-Instruct
25,attn,0.4100425896794364,0.9664347492547835,0.8426572724614945,0.13108714448023454,1.0486038107285036,12,Qwen/Qwen2.5-1.5B-Instruct
25,resid,0.17899571323129182,0.1846685233615299,0.4007026618575271,0.13227333231419464,0.14501965836645386,12,Qwen/Qwen2.5-1.5B-Instruct
26,mlp,0.3311099213211399,0.44386835328986224,0.417519412698264,0.13155184373669904,0.47772820833986707,12,Qwen/Qwen2.5-1.5B-Instruct
26,attn,0.10397305123934752,0.41490932338454356,0.5578965763901766,0.13181743350627695,0.4253774585119857,12,Qwen/Qwen2.5-1.5B-Instruct
26,resid,0.16807198976386262,0.22937685491136728,0.22507768303697273,0.13187397520190564,0.2237749671318697,12,Qwen/Qwen2.5-1.5B-Instruct
27,mlp,0.31310248182972134,-8.604228440844963e-14,-4.440892098500626e-14,0.13210684738942594,2.0354088784794534e-14,12,Qwen/Qwen2.5-1.5B-Instruct
27,attn,-0.26704456552073386,-7.771561172376096e-14,-2.220446049250313e-14,0.13210684738942594,5.2735593669694936e-14,12,Qwen/Qwen2.5-1.5B-Instruct
27,resid,0.24961979634931575,-9.066821367772111e-14,-9.992007221626409e-14,0.13210684738942596,-1.1472304587793286e-13,12,Qwen/Qwen2.5-1.5B-Instruct
