layer,alpha,matched_shift_V,matched_shift_A,random_shift_V,random_shift_A,specificity_V,specificity_A
4,-1.0,0.002397980574523164,-0.002737316623641977,0.001401003523625664,-0.0019741444190701208,0.0009969770508975,-0.0007631722045718563
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5,-0.00034827434891454106,0.0011205407487696651,-0.0007108332472229815,0.0007571756348162239,0.0003625588983084404,0.00036336511395344123
4,1.0,-0.0002207508568389388,0.002131139909226506,-8.036778441504003e-06,0.001034480562798525,-0.0002127140783974348,0.001096659346427981
4,1.5,0.0009042844769674013,0.0023519969715173825,0.0009798762615927242,0.00038208948191709863,-7.55917846253229e-05,0.001969907489600284
5,-1.0,0.0031138932383247366,0.001316225640009841,0.0025565541000677435,0.0029873696577367,0.0005573391382569931,-0.0016711440177268589
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,-0.0007747340961480794,-0.0012365009455932348,-0.001109042660345232,-0.0020416060060836397,0.0003343085641971526,0.000805105060490405
5,1.0,-0.00017925115243439907,-0.0035067699383330825,6.856730022079816e-05,-0.004854587175476231,-0.0002478184526551972,0.0013478172371431487
5,1.5,0.0010372100469988367,-0.00591918379016249,0.000713332428047761,-0.00795932641568133,0.0003238776189510757,0.0020401426255188407
6,-1.0,-0.0007027606364239427,0.0021798214117027537,-0.00026477627391622666,0.002148712843827653,-0.00043798436250771605,3.110856787510085e-05
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,0.0002902785324982264,-0.001206264140430122,0.00023433128169053166,-0.0012076533250049704,5.594725080769472e-05,1.3891845748483216e-06
6,1.0,0.0011595400138699103,-0.003027866612360463,8.572196323678356e-05,-0.003580630750506584,0.0010738180506331269,0.0005527641381461211
6,1.5,0.001836752280326805,-0.005298509940894316,0.001925912456954157,-0.005832343277660142,-8.916017662735187e-05,0.0005338333367658253
7,-1.0,0.0021046907780687316,0.003548954373023156,0.0026137888489610275,0.004013580530981342,-0.0005090980708922959,-0.00046462615795818613
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5,-0.0017545273242209614,-0.002715334389213823,-0.0018875944577909642,-0.0026531779830565295,0.00013306713357000288,-6.21564061572934e-05
7,1.0,-0.003155100875633569,-0.005992941024556407,-0.003145253159738117,-0.006422090121492326,-9.847715895451754e-06,0.0004291490969359187
7,1.5,-0.004719947162966397,-0.009815251027633943,-0.004097701293845364,-0.010748281933973676,-0.0006222458691210325,0.0009330309063397338
8,-1.0,-0.005539477817034885,1.1237601678343312e-05,-0.005340166168269794,0.0016159723535187447,-0.0001993116487650909,-0.0016047347518404014
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5,0.0023585699130048107,-0.0010352299661421833,0.0026314187244391948,-0.001733068815096055,-0.0002728488114343841,0.0006978388489538717
8,1.0,0.004724520900390189,-0.0031037664558169315,0.004349823638296326,-0.004349182486451474,0.00037469726209386333,0.0012454160306345423
8,1.5,0.007160827218431008,-0.006148366037580566,0.006919251954193943,-0.007431257858353653,0.00024157526423706534,0.001282891820773087
9,-1.0,-0.004512358941098138,-0.00015001365711533646,-0.0047471620077939635,6.127707679670173e-05,0.00023480306669582552,-0.00021129073391203818
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5,0.0022780368054104113,-4.151829056653807e-05,0.0022304184309528082,-0.00038161559531686706,4.7618374457603085e-05,0.000340097304750329
9,1.0,0.005546735606052733,-0.0009547181572774991,0.005239357792994309,-0.0010522527464158725,0.0003073778130584237,9.753458913837343e-05
9,1.5,0.007927951337563738,-0.0018452017450228165,0.008009382573618407,-0.0022622852939280813,-8.143123605466873e-05,0.0004170835489052647
10,-1.0,0.0005252226829109327,0.001677732062408584,-0.0001398288814583315,0.0023199903125112587,0.0006650515643692642,-0.0006422582501026746
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.5,-0.00034180154466085616,-0.0004463163796897332,-0.0008674782376619089,-0.0010432317007930657,0.0005256766930010527,0.0005969153211033325
10,1.0,-0.0005015469767066516,-0.0012142805566275315,-0.0001775139615791214,-0.0017148051120150175,-0.00032403301512753024,0.000500524555387486
10,1.5,-0.000583569821326462,-0.001936834651298347,-0.00030274540679653866,-0.002703029743146739,-0.0002808244145299233,0.0007661950918483921
11,-1.0,-0.0010783305879170692,3.1117391411270935e-05,-0.0008734980400941181,0.0003379514702457435,-0.00020483254782295102,-0.00030683407883447256
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5,0.0003631694000873903,0.0006008770242414996,0.00039228417398566584,0.00021899953345092446,-2.9114773898275548e-05,0.00038187749079057515
11,1.0,0.001296758169103999,0.0005921808773012386,0.0006539040836489087,0.0003055098497685658,0.0006428540854550904,0.00028667102753267276
11,1.5,0.001769615687462552,0.0011460978236969982,0.0015823608405717328,0.0011826305261365782,0.00018725484689081917,-3.6532702439579954e-05
12,-1.0,0.00047293222315747857,0.0001698033812071731,0.0003736348889815527,0.0004681672597788844,9.929733417592584e-05,-0.0002983638785717113
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5,0.00014163583818100714,0.0003793868350664975,0.0003428824447690761,-4.35793979281877e-06,-0.00020124660658806895,0.0003837447748593163
12,1.0,0.00046698111093827305,0.0005095779712766859,6.71115514461242e-05,0.0007933148684830712,0.00039986955949214886,-0.0002837368972063853
