r2_within_r,r2_within_s,r2_cross_r_to_s,r2_cross_s_to_r,r2_cross_r_to_s_task_scaled,r2_cross_s_to_r_task_scaled,direct_transfer_score,direct_transfer_score_raw,direct_transfer_score_clipped,r2_pca_direct,r2_aligned_transfer,alignment_gain,rsa_correlation,geometry_pattern,is_held_out,layer,relative_depth,target
-1.9660773729432028,-1.7119491693682294,-3.1571900279713185,-2.8604174854923743,-2.893289901252022,-2.3165667017707743,-3.0088037567318464,-3.0088037567318464,0.0,0.05156715976180881,0.0856922370830755,0.034125077321266684,0.946849275554225,Operational: Task-Divergent Geometry,True,6,0.24,Valence_human
-2.7586955179770416,-2.175475341974649,-4.427791101052017,-3.964087468995128,-3.6922187174067203,-2.849078839539635,-4.195939285023572,-4.195939285023572,0.0,0.006933882650717038,0.021720840453457457,0.01478695780274042,0.946849275554225,Operational: Task-Divergent Geometry,True,6,0.24,Arousal_human
-1.868316791183501,-1.8801902580278917,-3.8805638910763207,-4.8817001905352795,-2.8571852966106555,-2.5803742508357144,-4.3811320408058005,-4.3811320408058005,0.0,0.06861785357041816,0.09645178517365505,0.027833931603236883,0.9378941410845796,Operational: Task-Divergent Geometry,True,7,0.28,Valence_human
-2.4792057502436116,-2.6969990669668276,-3.7586100076832736,-3.708746827481286,-3.4572848499962197,-3.5439391869227412,-3.7336784175822797,-3.7336784175822797,0.0,-0.009249769376677763,0.0145825738496137,0.023832343226291464,0.9378941410845796,Operational: Task-Divergent Geometry,True,7,0.28,Arousal_human
-1.5311549351617337,-1.6872827148019645,-2.1412916159524085,-3.289843775358859,-2.175190306467836,-2.5888015800609554,-2.7155676956556336,-2.7155676956556336,0.0,0.08190108691163689,0.1133401534227656,0.03143906651112871,0.9398537111699407,Operational: Task-Divergent Geometry,True,8,0.32,Valence_human
-2.7333676042627837,-2.4585481142249086,-3.914700987912826,-5.404416752458024,-3.5590721909842893,-3.975027826106089,-4.659558870185425,-4.659558870185425,0.0,-0.01878209311737833,-0.0073455843377285834,0.011436508779649746,0.9398537111699407,Operational: Task-Divergent Geometry,True,8,0.32,Arousal_human
-1.441644156676848,-1.7446538994971532,-2.9469754566746857,-6.517833635030725,-2.5310355084064624,-2.5152304429818346,-4.732404545852706,-4.732404545852706,0.0,0.08041043826327976,0.1608597511231007,0.08044931285982093,0.9345452211690077,Operational: Task-Divergent Geometry,True,9,0.36,Valence_human
-2.620189594104273,-2.301318004696718,-5.708246031989824,-5.572044175597933,-4.267694894135774,-3.8917482772163723,-5.640145103793879,-5.640145103793879,0.0,-0.01333433222825775,0.004112091222211345,0.017446423450469095,0.9345452211690077,Operational: Task-Divergent Geometry,True,9,0.36,Arousal_human
-1.1473741000276259,-1.1089399955624328,-2.904334633959538,-3.07109393139432,-2.1301499555029357,-2.255629719575474,-2.9877142826769294,-2.9877142826769294,0.0,0.23250087760320892,0.2633145438262624,0.030813666223053482,0.9449376324400298,Operational: Task-Divergent Geometry,True,10,0.4,Valence_human
-2.045488788629102,-2.19964123643748,-4.712413284073867,-8.677767396866345,-3.54867296287346,-3.8534055966697034,-6.695090340470106,-6.695090340470106,0.0,-0.00961780829005221,0.01994595908863217,0.02956376737868438,0.9449376324400298,Operational: Task-Divergent Geometry,True,10,0.4,Arousal_human
-1.140216031276717,-1.3325287451272487,-4.977292537185948,-2.970264765521877,-1.9106811798383472,-1.8851584811597664,-3.9737786513539124,-3.9737786513539124,0.0,0.1660035626392412,0.18296405921382064,0.01696049657457943,0.9276020180932635,Operational: Task-Divergent Geometry,True,11,0.44,Valence_human
-2.2975814867207474,-2.406652679670807,-9.795088997548309,-5.232088681028794,-3.2700020209476923,-3.3720624077147274,-7.513588839288552,-7.513588839288552,0.0,-0.05849595180377998,0.006556027029737899,0.06505197883351788,0.9276020180932635,Operational: Task-Divergent Geometry,True,11,0.44,Arousal_human
-1.1402553710925756,-1.1369483448799382,-2.5191920463641075,-3.6454139514676784,-2.1461634497339013,-1.8293203259392077,-3.082302998915893,-3.082302998915893,0.0,0.15738965095125046,0.14911698144727414,-0.008272669503976315,0.9145563391780221,Operational: Task-Divergent Geometry,True,12,0.48,Valence_human
-2.3757159939811356,-2.2318152633671926,-6.953138748296874,-3.885696630540197,-3.675883416154605,-3.3630600044863925,-5.419417689418536,-5.419417689418536,0.0,-0.0579286038495217,-0.02247370599086307,0.03545489785865863,0.9145563391780221,Operational: Task-Divergent Geometry,True,12,0.48,Arousal_human
