layer,relative_depth,magnitude_self,magnitude_reader,shift_V_self,shift_A_self,shift_V_reader,shift_A_reader,directional_cosine_similarity,mean_pairwise_directional_cosine,discovery_mag_self,discovery_mag_reader,confirmation_mag_self,confirmation_mag_reader
10,0.37037037037037035,0.0030808080055254243,0.002436249025455667,0.001996864399220949,0.0023460414612775926,0.0019068316848074817,0.0015163450266505799,0.9812776324294439,0.2760645916949052,0.012321362202863602,0.012913338119440227,0.011530328737878676,0.013061775639637912
11,0.4074074074074074,0.0034557636879022765,0.0034212143381276037,0.0023492048182161226,0.002534470238273493,-0.002972274520031709,-0.001694193532327452,-0.9537724935108055,0.3156108860649363,0.011479458710746467,0.01311272554892024,0.011595781970190617,0.011924348855846366
12,0.4444444444444444,0.0018507843072711812,0.006199369105556832,0.0008621843932394893,0.0016376936905586222,-0.005397784496518167,-0.0030489506122731206,-0.8408043515893485,0.3882581235358497,0.011425021254471557,0.014118254024083251,0.011965486693348681,0.012502031953136275
13,0.48148148148148145,0.0018482486422303757,0.004507840818096717,0.0011342485221053956,0.001459281786910312,-0.004292739147960453,-0.0013758704331682688,-0.8253885076752069,0.41521518024748144,0.011534812458819701,0.013248643756788275,0.012659113635107876,0.012566809319348449
14,0.5185185185185185,0.003418759860898374,0.003779114236872214,0.0028649790071456024,0.0018654260304565458,-0.0036491295554932864,-0.0009826280591127186,-0.9510688695712514,0.38095678011869927,0.011934145236520852,0.012392063739329958,0.013569102503230438,0.013388993434306676
15,0.5555555555555556,0.003052297687763895,0.008471754689413004,-0.0028815285681011763,0.0010066351304944636,-0.008404755172723133,-0.0010633522483988929,0.8951910592306562,0.3933497294612649,0.01353601405501916,0.013712732425583301,0.01212465389325633,0.012760710225850666
16,0.5925925925925926,0.004248018713122432,0.007725775506697166,-0.004166138458761792,0.0008300321255615833,-0.00769095029736698,-0.0007327282602115232,0.9577728445817779,0.5239293474092471,0.015033310825074512,0.013626752989248906,0.013963405237614074,0.014234236975964936
17,0.6296296296296297,0.0051915653061356095,0.006571928951629909,-0.0051831284478347645,-0.0002958543917485577,-0.006486878045169971,-0.0010538801508536005,0.9945929450773013,0.42401735417531233,0.012395003082240294,0.011088976836077513,0.010625594606554392,0.011788572304289225
18,0.6666666666666666,0.0003350121449137463,0.0017466851400114339,0.0002186423881037162,0.00025382797986828187,-0.0017302375848866254,-0.00023913778075088793,0.0,0.2956661647465232,0.00986209886505946,0.009437386262315823,0.00993220765605,0.008553088568022152
19,0.7037037037037037,0.0007015502564645197,0.0005285632300073499,0.0005234262615618906,0.0004671163784891047,-0.00047917518146356014,0.00022309243282811475,0.0,0.15701302388995275,0.004781712118867282,0.004739143488352687,0.004598023850073563,0.004311359941068525
20,0.7407407407407407,0.0003835084616830671,0.0008164040195948173,0.00036333141522820744,0.0001227559484944842,-0.0008090630479733046,-0.00010923601793694689,0.0,0.05943716554190649,0.00474636864836299,0.00425466880480783,0.004159292804798615,0.003766932048720424
21,0.7777777777777778,0.00019525699951583977,0.0002978500698934661,-0.00018764996998739403,-5.39702197851627e-05,0.00023969691696845244,0.00017680512473161372,0.0,0.2093214343787008,0.004677913382986781,0.004287425409523816,0.005111998135007216,0.004114487243615214
22,0.8148148148148148,0.00038905990063178397,0.00024854562915487606,-0.0003822886778074343,-7.227013975257916e-05,-0.00020050425112149808,0.00014687741505827376,0.0,0.08888212415145848,0.004223953445492289,0.004084664215906041,0.004092174058236399,0.00351411543923144
23,0.8518518518518519,5.921601331857118e-05,0.0004185898804993612,5.8243736897237164e-05,-1.0686596539151902e-05,0.00020501613947937017,0.00036494639415871055,0.0,-0.023808604670703896,0.003335955195812207,0.0033114070681057087,0.003425335017436606,0.0034765418643240287
24,0.8888888888888888,0.00026389531260117335,0.00030265889509171264,0.00018300095085837612,0.0001901351834821772,0.00017672418520248145,0.0002457050450085536,0.0,-0.016224775007196282,0.0032275017584912405,0.002730436341321198,0.0034378743569689605,0.0036389404018050166
25,0.9259259259259259,0.00044844346961720035,0.00040113536704598356,0.00035243224056323574,0.0002772959813157963,0.0003205410767395343,0.00024117006617276523,0.0,0.06061289122863383,0.0030479531018045188,0.00329366593969653,0.0031170900121382135,0.0036826594428653677
26,0.9629629629629629,0.00014804642996759285,0.00013188610315749335,8.639719304739946e-05,0.00012022175535101691,-5.198214280215108e-05,0.000121209739855202,0.0,0.06163429105744847,0.0029399498965611767,0.002823102644735339,0.0028444408947866733,0.0028569886514671432
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
