layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
19,EmoBank,0.09650684079527572,0.06376754238192062,0.3237660338188091,0.2775626552683031,0.02116956742784426,0.0004965047235857556,0.20539584953202203,0.17047460586460136,0.2906716832815245,0.25679641190584757
20,EmoBank,0.0892349014960121,0.06384582416315088,0.31214338832108385,0.27747714379685057,0.02178226763860336,0.009398253522731603,0.2043670000345227,0.18164948078783935,0.25707037120893006,0.23208649792217972
21,EmoBank,0.08448082897027509,0.05828033288314971,0.3068809589472844,0.2705100420978623,0.010770520254721472,-0.0006027070098917342,0.1810637434051488,0.163121640654195,0.26106944198839266,0.23277790269309384
22,EmoBank,0.07937489813124898,0.062183155063947226,0.3023842013785066,0.27503502749909314,0.004057861900657378,-0.0006298449260828676,0.17079863017227084,0.16109841341573813,0.26550382696463426,0.23837297682070768
23,EmoBank,0.06802494706853512,0.059226461912278094,0.2868727971920589,0.2696397206540063,0.0063120653102566315,0.0007181584958901865,0.17416002141288256,0.1669119166537103,0.253097490846219,0.21975784708306123
24,EmoBank,0.07511827358943635,0.058345382116506306,0.2961103947740696,0.26691919848693796,0.003946539316253106,0.003340784551192466,0.16746673540031076,0.1694158282816618,0.2644464464489157,0.22176414283746937
25,EmoBank,0.08481804003894311,0.059677613910707916,0.30897113235175866,0.2696052438257729,0.007577263650247357,0.008942272383536398,0.1761043872440094,0.17782477269817445,0.27634484451718766,0.22919861035355704
26,EmoBank,0.0889260227684383,0.06191456456973754,0.31517758874251717,0.27418359065253556,0.01316261575411426,0.018963994164581277,0.18792410861451989,0.19640185438216246,0.28948553612397454,0.245010240371222
27,EmoBank,0.08918162242984862,0.07588185779103662,0.3150921975036805,0.2941631478922173,0.011797044581998484,0.0187456189906976,0.1864526238998885,0.19539975419134062,0.2810830251523495,0.25524277811038065
28,EmoBank,0.08040481141957778,0.08508719030047374,0.3028987879055483,0.3054359866554951,0.0004256042318270259,0.012594108793938297,0.16028075266973182,0.18217832086078645,0.2696465177455146,0.2570970960634297
29,EmoBank,0.09764278659969639,0.09530721265379893,0.32380608518853926,0.31938481322083384,0.011532693319324383,0.014701928869395364,0.17926928691902383,0.1833085037995492,0.26176102295887416,0.25369620042591423
30,EmoBank,0.14061445734693723,0.17913791336819274,0.3796541965255486,0.4245287239692265,0.01076561981551949,0.011311670669395979,0.17384697331591673,0.1797377901651891,0.353647700081846,0.3912466696718211
31,EmoBank,0.1374821436363649,0.1792252741335727,0.37555842347547386,0.42454293280687544,0.004597228243161666,0.010852937775699956,0.16127397223987908,0.17446499877666075,0.36866368577342956,0.396381779631104
32,EmoBank,0.17157539057046056,0.19653187756424118,0.41637118005691165,0.4449907468940985,0.018030902811452143,0.010519162319779451,0.1864252089328367,0.17454221895684582,0.41357386775619553,0.43963804908914417
