layer,dataset,target_V_human_r2_reader,target_V_human_r2_self,target_V_human_pr_reader,target_V_human_pr_self,target_A_human_r2_reader,target_A_human_r2_self,target_A_human_pr_reader,target_A_human_pr_self,target_V_beh_r2_reader,target_V_beh_r2_self
11,EmoBank,-0.01823219604615267,-0.012414303759031187,0.09389867233813697,0.10650541754854735,-0.016004337471512642,-0.01571326656314853,0.11265165232155079,0.0986962073635436,0.024808431885147697,0.03779273350640544
12,EmoBank,-0.026380122810089945,-0.008188421537448809,0.08100709234678717,0.11865430647669661,-0.012168302660793717,-0.00889874289681436,0.12108452434331093,0.11585100015717793,0.03126824529200167,0.05045227105873473
13,EmoBank,-0.02888085336830515,-0.00027351152174937,0.07023531654045952,0.1281781965684507,-0.018495971277062262,-0.013272542099176166,0.1103749867572217,0.11073728409999667,0.030359240069998017,0.04333938945016902
14,EmoBank,-0.02628701040387349,-0.0015473150517799628,0.08305724827687254,0.13639580766517168,-0.02228375507892788,-0.016859084630326482,0.10530805960063355,0.10920803366371037,0.027084484186580493,0.038889168972554455
15,EmoBank,-0.030870517728583513,-0.016281152851523206,0.0752209291774136,0.10613185025712289,-0.02631829710203304,-0.022443896404072294,0.09428556216152326,0.0968920313403835,0.020870627787492047,0.025169515985815072
16,EmoBank,-0.029671834699649846,-0.0020224683335408056,0.07198085206656775,0.12816565735414653,-0.04357255004720484,-0.0216419755248225,0.05327257280765813,0.08891832025398648,0.021831449519490453,0.026088536616780456
17,EmoBank,-0.014285965848391147,0.005724782183059163,0.10220708587212982,0.14757955883514867,-0.04234636191672814,-0.02468037149555391,0.04472711773339536,0.08062036520552565,0.02291546532926625,0.03550224516957379
18,EmoBank,-0.01864207705186871,-0.0029249223359459897,0.09271161676718913,0.12628885901258294,-0.051657015375753845,-0.03536422952111429,0.02285086653980726,0.046496929220450574,0.02198590245228993,0.026316891872177228
19,EmoBank,-0.02303513109748212,-0.011902474380662165,0.07722358998115031,0.10687513070409027,-0.04322624457024293,-0.03019796472057079,0.04146566631109743,0.059036691387143965,0.017827184113300976,0.025267242500702003
20,EmoBank,-0.02343990129824003,7.446098713947968e-06,0.07902541248521766,0.12900932829098324,-0.03889326536383386,-0.030056901274253978,0.0541029586113169,0.0594243755286501,0.018150398327453687,0.029067120695701054
21,EmoBank,-0.02552891162666171,-0.004618211262307437,0.07573373360523633,0.11820840905765469,-0.03871223249185851,-0.03115503125028707,0.055039612347806834,0.05651167706486612,0.010414843910641736,0.026812510154743063
22,EmoBank,-0.017397757047660223,-0.003966569861498126,0.09652797452111295,0.1204370133864914,-0.03264847246880165,-0.025010659433786886,0.06958476310718208,0.07819844210831325,0.01863332144394514,0.025020880704657467
23,EmoBank,-0.01549595779338886,-0.004481739835913823,0.09835412410928543,0.12123639992523959,-0.025730620963224204,-0.0224086022428287,0.0856995735754596,0.08163559782882704,0.015232301895790279,0.025776560110840063
24,EmoBank,-0.012726320208401809,0.0019303471581709752,0.10575243030987672,0.13222959764880385,-0.028426462116149187,-0.026820280319954426,0.07993428919319144,0.07560807981277343,0.008019078811577818,0.031291878933515926
25,EmoBank,-0.012563943968539437,0.0016662831776965703,0.10684683047669744,0.1355262272521171,-0.025189583360685663,-0.028081508017212764,0.08410018406669968,0.075046021689792,0.005167879525732055,0.030946495050404144
26,EmoBank,-0.006098279663936612,0.006761661582780576,0.11379673017650481,0.14655415984471068,-0.020395847414710788,-0.031808685875514664,0.08846920440339677,0.06478891571800853,0.00893463609107481,0.018527373538840486
