layer,relative_depth,pair_id,eval_split,shift_V_self,shift_A_self,magnitude_self,shift_V_reader,shift_A_reader,magnitude_reader,pairwise_cos
0,0.0,P_admiration-d6-v1,confirmation,,,,,,,
0,0.0,P_admiration-d6-v2,confirmation,-0.11585324292759358,-0.06016544273308755,0.13054445371638143,,,,
0,0.0,P_admiration-d6-v3,confirmation,,,,,,,
0,0.0,P_admiration-d6-v4,confirmation,-0.30190741709964186,-0.42912094849842575,0.5246835969800902,-0.7692061054618344,-0.6653523485609902,1.0170406975216812,0.9702432892281561
0,0.0,P_vigilance-d4-v1,discovery,,,,,,,
0,0.0,P_vigilance-d4-v2,confirmation,-0.17351020471061407,-0.14273102929495707,0.22467295756792158,-0.12642739936986525,-0.12057471825381771,0.17470589570307846,0.997312403558534
0,0.0,P_vigilance-d4-v3,discovery,,,,,,,
0,0.0,P_vigilance-d4-v4,discovery,-0.4165717450505313,-0.25365927416612255,0.4877243546768287,,,,
0,0.0,P_vigilance-d5-v1,discovery,-0.30275929747226105,-0.2261101337919671,0.37787429762993713,-0.29093520189757616,-0.19982949683636697,0.3529520073736074,0.9992151225109124
0,0.0,P_vigilance-d5-v2,confirmation,-0.20743656380580555,-0.2268553863052829,0.3073976159622569,-0.2935754219252007,-0.2502651247357939,0.3857708659522931,0.9923027712930719
0,0.0,P_vigilance-d5-v3,confirmation,0.09778925411254757,0.012273231219763314,0.09855643268940985,,,,
0,0.0,P_vigilance-d5-v4,confirmation,0.04717114156696933,0.027601309478983094,0.05465298602716657,,,,
0,0.0,P_vigilance-d6-v1,discovery,,,,,,,
0,0.0,P_vigilance-d6-v2,discovery,-0.06203975733883205,0.06711909819291595,0.09139969821006773,-0.6056250322092183,-0.4825804133955818,0.7743807429368755,0.07322127941207755
0,0.0,P_vigilance-d6-v3,discovery,-0.6639634264628911,-0.48700014257873736,0.8234176161292964,-1.625710785667314,-1.5341343652896127,2.2352860688058693,0.9923731572943445
0,0.0,P_vigilance-d6-v4,discovery,-0.46255551040077814,-0.4301120092972721,0.6316280082009197,-0.49291268130600985,-0.5632726784338224,0.7484911633829034,0.9947158809667962
1,0.04,P_rage-d1-v1,discovery,-0.5079048409347275,-0.5006144605000262,0.7131494692605913,,,,
1,0.04,P_rage-d1-v2,confirmation,0.17471028856345194,0.15851113597483613,0.23590138863083793,-0.2926445306192784,-0.10582543263255006,0.31119100805332434,-0.9249715070732057
1,0.04,P_rage-d1-v3,discovery,-0.5204051024615199,-0.5769680640825787,0.7769901013778643,-0.5772482199241638,-0.6371008708753867,0.8597168295873892,0.9999974678603173
1,0.04,P_rage-d1-v4,discovery,,,,0.03641900328038217,0.21695115910282148,0.2199867024072006,
1,0.04,P_rage-d2-v1,discovery,,,,,,,
1,0.04,P_rage-d2-v2,discovery,,,,,,,
1,0.04,P_rage-d2-v3,confirmation,-0.19857318059921392,-0.21898797029880113,0.2956129888703753,-0.4793003417794752,-0.38472524402476527,0.6146074609210638,0.9875634033211323
1,0.04,P_rage-d2-v4,discovery,,,,,,,
1,0.04,P_rage-d3-v1,discovery,,,,,,,
1,0.04,P_rage-d3-v2,discovery,,,,,,,
1,0.04,P_rage-d3-v3,confirmation,0.24979032566533732,0.18257203814000134,0.30939902376476464,0.27174708541617854,0.28583690667599715,0.394397281494549,0.9839336524436865
1,0.04,P_rage-d3-v4,confirmation,-0.022648332791308956,-0.026726441391163647,0.03503212308241089,,,,
1,0.04,P_grief-d1-v1,discovery,,,,,,,
1,0.04,P_grief-d1-v2,discovery,-0.05295554523470081,0.07893427730764624,0.09505214308570238,-0.290486322651893,-0.16238473518813956,0.3327928873487862,0.08109145708821566
1,0.04,P_grief-d1-v3,confirmation,0.08140365759589407,0.08873545387407233,0.12041817240029505,-0.08093783780234842,0.058532587919089885,0.0998849209672073,-0.1159565148304903
1,0.04,P_grief-d1-v4,confirmation,0.810997106871632,-0.8741550891413485,1.192419149135855,0.45676953649167906,0.11654811111306307,0.4714041489750024,0.47776593673434004
1,0.04,P_grief-d2-v1,confirmation,,,,,,,
1,0.04,P_grief-d2-v2,confirmation,0.06029723825962341,-0.2453247620957817,0.25262619784790663,,,,
1,0.04,P_grief-d2-v3,confirmation,-0.6827121285548963,-0.3306740708822997,0.7585784017686171,-1.5976030731483544,-1.2838011217378447,2.049507477299952,0.9746002050195892
1,0.04,P_grief-d2-v4,confirmation,0.27013242971662965,0.8260896284993402,0.8691349744998114,0.3248881271342028,0.8539924455026271,0.9137042147918151,0.9988727719297895
1,0.04,P_grief-d3-v1,discovery,0.05214766450867181,0.15268430143359923,0.16134396430599807,,,,
1,0.04,P_grief-d3-v2,confirmation,,,,,,,
1,0.04,P_grief-d3-v3,confirmation,,,,,,,
1,0.04,P_grief-d3-v4,confirmation,,,,,,,
1,0.04,P_terror-d1-v1,discovery,0.394901688344373,0.20153023177474028,0.4433528817729922,,,,
1,0.04,P_terror-d1-v2,discovery,-0.15347737697709052,-0.17256487014358912,0.23094142038933105,-0.0769503876650317,-0.10495477519250906,0.13014171889716525,0.9955594043536736
1,0.04,P_terror-d1-v3,confirmation,,,,,,,
1,0.04,P_terror-d1-v4,discovery,0.5360320354958246,0.12088731823551901,0.5494943919531596,0.8417868382087841,0.28088021091113635,0.8874112766147532,0.994979873007574
1,0.04,P_terror-d2-v1,discovery,,,,,,,
1,0.04,P_terror-d2-v2,discovery,,,,,,,
1,0.04,P_terror-d2-v3,confirmation,,,,,,,
1,0.04,P_terror-d2-v4,confirmation,,,,,,,
1,0.04,P_terror-d3-v1,discovery,-0.18801320251360942,-0.093090783883373,0.20979718387872695,-0.4036711824476291,-0.2688453562483444,0.4850033495914912,0.9918449029260927
1,0.04,P_terror-d3-v2,discovery,0.015353797289799687,-0.578791343854101,0.5789949557739277,,,,
1,0.04,P_terror-d3-v3,confirmation,,,,,,,
1,0.04,P_terror-d3-v4,confirmation,0.43011691014122766,0.28007988608430434,0.5132692266037716,-0.8238237069092529,-0.6536632830252698,1.051646893040186,-0.9956286800467207
1,0.04,P_ecstasy-d1-v1,confirmation,-0.24370552133533963,0.09883640755536005,0.2629848219722555,-0.2138125663121242,0.2607424469993549,0.33719791989303244,0.8782133882464297
1,0.04,P_ecstasy-d1-v2,discovery,,,,,,,
1,0.04,P_ecstasy-d1-v3,discovery,-0.36784332062789327,-0.21714735466537727,0.4271553372822658,,,,
1,0.04,P_ecstasy-d1-v4,discovery,0.797437209644948,0.5691682368125393,0.9797237289780296,0.9059282983980617,0.6419565585677502,1.1103217123548277,0.9999941980319328
