stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
behavioral,rq1_emobank_correspondence,olmo,instruct,reader,valence,emobank_human_grounding,spearman_rho,0.3345589766071629,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,reader,arousal,emobank_human_grounding,pearson_r,0.0894884002416158,,,,0.0046255547452082,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,reader,arousal,emobank_human_grounding,spearman_rho,0.0749793099849629,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,self,valence,emobank_human_grounding,pearson_r,0.4404050920551601,,,,1.0702118207820247e-48,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,self,valence,emobank_human_grounding,spearman_rho,0.4416197068456246,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,self,arousal,emobank_human_grounding,pearson_r,0.0750986698636857,,,,0.0175388278612252,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,olmo,instruct,self,arousal,emobank_human_grounding,spearman_rho,0.0661316765349918,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,base,reader,valence,emobank_human_grounding,pearson_r,0.4716186511569123,,,,1.6136462152894545e-56,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,base,reader,valence,emobank_human_grounding,spearman_rho,0.465634023634104,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,base,reader,arousal,emobank_human_grounding,pearson_r,0.2573727735564597,,,,1.3583381858375807e-16,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,base,reader,arousal,emobank_human_grounding,spearman_rho,0.2194879959275757,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,base,self,valence,emobank_human_grounding,pearson_r,0.3323664010657681,,,,3.2283898476332542e-27,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,base,self,valence,emobank_human_grounding,spearman_rho,0.324427219133682,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,base,self,arousal,emobank_human_grounding,pearson_r,0.2177112366498161,,,,3.410733534136996e-12,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,base,self,arousal,emobank_human_grounding,spearman_rho,0.175631027570234,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,reader,valence,emobank_human_grounding,pearson_r,0.587331916087343,,,,8.924995284208345e-94,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,reader,valence,emobank_human_grounding,spearman_rho,0.5923248354532092,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,reader,arousal,emobank_human_grounding,pearson_r,0.2928013653898958,,,,3.2115396001360245e-21,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,reader,arousal,emobank_human_grounding,spearman_rho,0.2566640904062087,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,self,valence,emobank_human_grounding,pearson_r,0.5373336274193443,,,,6.869952009874915e-76,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,self,valence,emobank_human_grounding,spearman_rho,0.5354674664444422,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,self,arousal,emobank_human_grounding,pearson_r,0.2507524590533573,,,,8.381500852873708e-16,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,r_continuous
behavioral,rq1_emobank_correspondence,qwen,instruct,self,arousal,emobank_human_grounding,spearman_rho,0.2076616092975054,,,,,,1000,True,primary,behavioral/results/derived/emobank_3way_summary/behavioral_emobank_metrics.csv,rho_continuous
behavioral,rq2_sensitivity,gemma,base,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,-0.0053570085119536,,-0.0141513576210117,0.0031357548531797,0.2179975582384363,0.2906634109845817,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,base,self,valence,clinical_minus_neutral_matched,mean_aligned_delta,-0.0019799704013122,,-0.0105066113364577,0.00621671820182,0.649556667561106,0.7167521848950135,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,base,reader,arousal,clinical_minus_neutral_matched,mean_aligned_delta,-0.0024361388368422,,-0.0076884404497472,0.0025212022319238,0.3477170962679817,0.4121091511324228,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,base,self,arousal,clinical_minus_neutral_matched,mean_aligned_delta,-0.006526424811756,,-0.011917182193812,-0.0010280109373067,0.0165139840137884,0.0278130257074331,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,instruct,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.000407874823206,,-0.0140032009562124,0.0155539651976548,0.9576098495336998,0.9576098495336998,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,instruct,self,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.001260332828029,,-0.0159464824270774,0.0186732094794965,0.8878275544222897,0.916467152952041,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,instruct,reader,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.1157626115567794,,0.0916419803058353,0.141799374245311,2.9531228572544693e-16,1.88999862864286e-15,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,gemma,instruct,self,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.0121167887061184,,-0.0108125693632927,0.038391246799252,0.3442301087926311,0.4121091511324228,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,base,reader,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.0011241058756226,,-0.0002422435355337,0.0026379416722628,0.1343133533971328,0.1953648776685568,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,base,self,valence,clinical_minus_neutral_matched,mean_aligned_delta,0.0004612712653048,,-0.0011200752927565,0.0020575642550833,0.5854906618341692,0.6691321849533363,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
behavioral,rq2_sensitivity,llama,base,reader,arousal,clinical_minus_neutral_matched,mean_aligned_delta,0.0017228072110293,,0.00074001595862,0.0027797484531829,0.0013700174607822,0.0025788563967666,192,True,primary,behavioral/results/derived/aipsy_4split_summary/behavioral_aipsy_sensitivity_rq1.csv,direction_aligned_mean_diff
