stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v2,rq3_causal_relocation,gemma,instruct,self,arousal,inst_matched_plain_self,mean_c_net_rand,1.3147270159561413e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,valence,inst_matched_self,mean_c_net_rand,3.6217264261877575e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,arousal,inst_matched_self,mean_c_net_rand,1.3147270159561413e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,valence,inst_native_chat_reader,mean_c_net_rand,-5.497258091357744e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,arousal,inst_native_chat_reader,mean_c_net_rand,-4.8539605306217446e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,valence,inst_native_reader,mean_c_net_rand,-5.497258091357744e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,arousal,inst_native_reader,mean_c_net_rand,-4.8539605306217446e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,valence,deprecated_inst_reader_native_alias,mean_c_net_rand,-5.497258091357744e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,reader,arousal,deprecated_inst_reader_native_alias,mean_c_net_rand,-4.8539605306217446e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,valence,inst_native_chat_self,mean_c_net_rand,1.8361895039413318e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,arousal,inst_native_chat_self,mean_c_net_rand,5.35544549311741e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,valence,inst_native_self,mean_c_net_rand,1.8361895039413318e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,arousal,inst_native_self,mean_c_net_rand,5.35544549311741e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,valence,deprecated_inst_self_native_alias,mean_c_net_rand,1.8361895039413318e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,gemma,instruct,self,arousal,deprecated_inst_self_native_alias,mean_c_net_rand,5.35544549311741e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,base,reader,valence,base_plain_reader,mean_c_net_rand,1.6112392449181724e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,base,reader,arousal,base_plain_reader,mean_c_net_rand,1.8029765620895285e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,base,reader,valence,base_reader,mean_c_net_rand,1.6112392449181724e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,base,reader,arousal,base_reader,mean_c_net_rand,1.8029765620895285e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,base,self,valence,base_plain_self,mean_c_net_rand,-4.682922445937454e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
