model,family,alignment,task,axis,n_pairs,mean_aligned_delta,ci_low,ci_high,cohen_dz,t,p,q,mean_raw_delta
llama_base,llama,base,self,arousal,192,0.0018829053807402,0.0008450086332315,0.0029563731750205,0.2414982808649255,3.346298339188719,0.0009861205873097,0.0020626040522106,0.0021229041340269
llama_base,llama,base,writer,dominance,192,-9.640702572432752e-05,-0.0011998977405504,0.0010959686305408,-0.012960424645848,-0.1795849117942133,0.8576688239719095,,0.0019131633263586
llama_base,llama,base,reader,dominance,192,-0.0003159139669474,-0.001261049518163,0.0006837240320514,-0.0464649411002718,-0.6438371100509287,0.5204534146768333,,0.0010858512045137
llama_base,llama,base,self,dominance,192,-0.0004050288252062,-0.0015380993575758,0.0007569180394537,-0.0512021921941455,-0.7094783867133329,0.478892844053935,,0.0018958791344799
llama_instruct,llama,instruct,writer,valence,192,0.0046765297439226,0.000876829413425,0.0086441349221758,0.1668594675803503,2.3120726045844693,0.0218399845246749,,0.0006971536585057
llama_instruct,llama,instruct,reader,valence,192,0.0005263977616673,-0.0039619446750334,0.0057509224367071,0.015798847841045,0.2189152572939197,0.826949810108157,0.8820797974487008,0.0085528233899329
llama_instruct,llama,instruct,self,valence,192,0.0065013542218523,0.0028338907825971,0.0103312082373675,0.2405473675167166,3.3331220973271725,0.0010313020261053,0.0020626040522106,-0.0010640690910776
llama_instruct,llama,instruct,writer,arousal,192,0.0250641297424783,0.0194025763955712,0.0308069227155744,0.5649356407879049,7.827977862809057,3.3168186141168737e-13,,0.0250654903441722
llama_instruct,llama,instruct,reader,arousal,192,0.0710839872499279,0.061322344900993,0.0809016618239152,0.9720890337634236,13.4696607676703,1.6535202494346422e-29,5.291264798190855e-28,0.0820748264848165
llama_instruct,llama,instruct,self,arousal,192,0.0185043590432173,0.0124485989903317,0.0244117845388121,0.4171426283312339,5.780097810180141,2.9967270070075174e-08,1.198690802803007e-07,0.0158600476176506
llama_instruct,llama,instruct,writer,dominance,192,-0.0123617058406597,-0.020428307698769,-0.0046755675006162,-0.2288904282254471,-3.171598808421375,0.0017665198989538,,-0.0261588865548223
llama_instruct,llama,instruct,reader,dominance,192,-0.0130647862589091,-0.0218618392645131,-0.0050515779357054,-0.2246325023620037,-3.112599256978611,0.0021393502719901,,-0.0288179004954347
llama_instruct,llama,instruct,self,dominance,192,-0.0149081919452623,-0.0235720588754284,-0.0070891877724373,-0.2603086320773178,-3.6069422112533456,0.0003954939176674,,-0.0338125985251696
olmo_base,olmo,base,writer,valence,192,-0.0088276013626852,-0.0141512221919572,-0.0033135961049467,-0.2316979158270516,-3.2105004977621654,0.0015546580347145,,-0.020387381163706
