model,family,alignment,axis,layer,relative_depth,within_reader_r2,within_self_r2,cross_r_to_s,cross_s_to_r,direct_mean,rsa,aligned_r2,alignment_gain
gemma_instruct,gemma,instruct,arousal,20,0.8,-1.420632581901649,-1.615668698433666,-13.956586970212808,-9.147002037081348,0.0,0.7555524648497987,-0.00178561166402,0.280953550935799
gemma_instruct,gemma,instruct,valence,21,0.84,-0.5229994085694529,-0.7564540794913925,-8.971757554651944,-10.370402774789104,0.0,0.7490339644671709,0.1999959399878136,0.2532309885670841
gemma_instruct,gemma,instruct,arousal,21,0.84,-1.4590188641980144,-1.450340560829571,-11.87239748065886,-7.80123281581149,0.0,0.7490339644671709,0.0142649974791141,0.1454580313063861
gemma_instruct,gemma,instruct,valence,22,0.88,-0.6688841990214083,-0.7885741897264769,-8.04019432928404,-55.52747241571426,0.0,0.7479294711043931,0.1881620359492373,0.2936646923392252
gemma_instruct,gemma,instruct,arousal,22,0.88,-1.4473059647460498,-1.3462486954352286,-9.868095073064124,-17.52762670161183,0.0,0.7479294711043931,0.0161101703923068,0.2686110392767705
gemma_instruct,gemma,instruct,valence,23,0.92,-0.9359222622628064,-0.727057607911276,-9.736499759126731,-4.955264713239709,0.0,0.7496389444007053,0.1902172177212951,0.2520880452861617
gemma_instruct,gemma,instruct,arousal,23,0.92,-1.7486483284572731,-1.640911076214595,-19.997987688900213,-35.58213976182625,0.0,0.7496389444007053,0.0183352753543017,0.1357522969596702
gemma_instruct,gemma,instruct,valence,24,0.96,-0.7932321941915457,-0.6133998208934164,-10.491606862847432,-14.136124154272382,0.0,0.7535505101082948,0.2094152992445337,0.210506610779092
gemma_instruct,gemma,instruct,arousal,24,0.96,-1.7165567070402532,-1.948896356307051,-11.184153758320246,-51.02018237799129,0.0,0.7535505101082948,0.0325279598861982,0.2522814860781732
gemma_instruct,gemma,instruct,valence,25,1.0,-0.9251713348639604,-0.790727718658681,-10.726286622937446,-11.51531245893042,0.0,0.7565514061375097,0.2155517041105077,0.1225668542995366
gemma_instruct,gemma,instruct,arousal,25,1.0,-1.7303486031623725,-2.07921301463108,-32.925222147718586,-26.2992150969036,0.0,0.7565514061375097,0.0016701449871922,0.2353058943136593
llama_base,llama,base,valence,0,0.0,-1.807688892855818,-1.42773933702742,-3.2645369895560155,-2.1280954059671435,0.0,0.97961107411679,0.0948260203843099,0.0117620739079205
llama_base,llama,base,arousal,0,0.0,-2.129161482237219,-2.428153305316543,-3.747397415126184,-2.980099349916053,0.0,0.97961107411679,0.0316562809453203,0.0102031430695317
llama_base,llama,base,valence,1,0.0666666666666666,-1.159692992082268,-1.0788155863075175,-2.085236654923828,-1.2122140134616417,0.0,0.9706710580695616,0.1104892586857982,0.0115198876653696
llama_base,llama,base,arousal,1,0.0666666666666666,-1.4689792923704368,-1.2327707521654947,-2.3398476790362377,-1.5672324265566495,0.0,0.9706710580695616,0.0311176730343969,0.0022211057267236
llama_base,llama,base,valence,2,0.1333333333333333,-1.0729635084414475,-0.90937032900935,-2.617333216278108,-1.8146094533663637,0.0,0.9468262855329426,0.087738258163402,-0.0089810853408823
llama_base,llama,base,arousal,2,0.1333333333333333,-1.4810379187392178,-1.528087869539367,-4.535092892190573,-3.6349132087493823,0.0,0.9468262855329426,0.0225400566988286,0.0211756576256056
llama_base,llama,base,valence,3,0.2,-0.9886241076647468,-0.996839608841936,-4.319568527358836,-3.5803708700638737,0.0,0.9450447891778238,0.1192433205550184,-0.0064630656136531
llama_base,llama,base,arousal,3,0.2,-1.211781703531294,-1.2933037149861848,-10.041618355252371,-6.939448818754723,0.0,0.9450447891778238,0.0435276065253708,0.0094845548874433
llama_base,llama,base,valence,4,0.2666666666666666,-0.9143660553318044,-0.8966289591549554,-5.906969052222682,-1.9499526910073264,0.0,0.9599388296058906,0.1494975535103347,0.0062639510596895
llama_base,llama,base,arousal,4,0.2666666666666666,-1.4392028916328157,-1.405145036200596,-6.039803594926183,-2.263178323423344,0.0,0.9599388296058906,0.0339613659502764,-0.0014816483905831
llama_base,llama,base,valence,5,0.3333333333333333,-0.7718258950351367,-0.655779392974357,-5.369451754694655,-1.6912368946386929,0.0,0.9595706773500264,0.1347678297935705,0.0684614999667021
llama_base,llama,base,arousal,5,0.3333333333333333,-1.2504180853755291,-1.4464576008238494,-6.577277756290732,-3.411704814074477,0.0,0.9595706773500264,0.0334968946919,0.0162461978658354
