model,family,alignment,task,axis,n_triplets,step1_mean,step1_ci_low,step1_ci_high,step2_mean,step2_ci_low,step2_ci_high,p_step1,p_step2,p_iut,q_iut,monotonicity_rate,secondary_slope
llama_base,llama,base,self,valence,48,-0.0029952932352734,-0.0065546734547015,0.0003343034962889,0.0029944035381294,-0.0004178998823324,0.0066306041650964,0.9432819866822864,0.0590985634385852,0.9432819866822864,0.9997596565981772,0.1666666666666666,-0.0024431064759622
llama_base,llama,base,writer,arousal,48,-0.0031401499859523,-0.0054504827206494,-0.0006807836103663,0.0047405489918328,0.0022530912219632,0.0074700748593569,0.9948239491900376,0.0003976572559683,0.9948239491900376,,0.1875,0.0005922726738548
llama_base,llama,base,reader,arousal,48,-0.0024259285697974,-0.0050310805252489,0.0001209820025832,0.0044238383094136,0.0020848806153676,0.0069637667370414,0.9687343738342884,0.000435087495388,0.9687343738342884,0.9997596565981772,0.1875,0.0007520383630401
llama_base,llama,base,self,arousal,48,-0.0034615589761671,-0.0060485253535716,-0.0007468046160074,0.0056680893276053,0.0033572514603484,0.0081446384747507,0.9934692309327886,9.178679126394915e-06,0.9934692309327886,0.9997596565981772,0.2708333333333333,0.0010607611395055
llama_base,llama,base,writer,dominance,48,-0.005472182849983,-0.0085953844846158,-0.0023536210328958,0.0055970810147005,0.0027875225604029,0.0084305840833377,0.999535792149948,0.0002155013629807,0.999535792149948,,0.0833333333333333,0.0007638925683428
llama_base,llama,base,reader,dominance,48,-0.0044863202262718,-0.0072109368580119,-0.0019829837317228,0.0040432651275077,0.0015529160892787,0.0067511638023222,0.999172375152149,0.0018738263511916,0.999172375152149,,0.0625,0.0004064317007909
llama_base,llama,base,self,dominance,48,-0.0054485252558844,-0.008679190435637,-0.0024646664577387,0.0050942489239956,0.0020127393748785,0.007968663656967,0.9994786053320674,0.0009659061461252,0.9994786053320674,,0.1041666666666666,0.0009340501233642
llama_instruct,llama,instruct,writer,valence,48,0.0156668065486636,0.0040598967160833,0.0269773224808755,-0.011371216683463,-0.0229871468667649,-0.0002692729059799,0.0044834098741052,0.9755276034507746,0.9755276034507746,,0.1666666666666666,-0.0015078691465811
llama_instruct,llama,instruct,reader,valence,48,0.009495049934645,-0.001107999748457,0.0194656593819127,-0.015193732204747,-0.0275571218214612,-0.0015513887737252,0.0423087270413439,0.9881877763339312,0.9881877763339312,0.9997596565981772,0.1041666666666666,0.0034926770530208
llama_instruct,llama,instruct,self,valence,48,0.0160000163899713,0.0041904346999783,0.0264794243715,-0.0097563988675888,-0.0225436529589976,0.0024177055516801,0.0040279051228629,0.9396337822204516,0.9396337822204516,0.9997596565981772,0.2083333333333333,-0.0013903344226828
