model,family,alignment,task,axis,clinical_displacement,complex_neutral_displacement,difference,cohen_d,welch_t,p,q
olmo_instruct,olmo,instruct,reader,dominance,0.0584702309866684,0.0802740614663538,-0.0218038304796853,-0.5192774033356954,-3.3606131342214964,0.0011882731847948,
olmo_instruct,olmo,instruct,self,dominance,0.0502395765448299,0.0490895166754322,0.0011500598693976,0.0339775186165531,0.2314961734920314,0.8174305738208243,
qwen_base,qwen,base,writer,valence,0.0136062764296168,0.0102220525367724,0.0033842238928443,0.3517331655283932,2.6036909357580527,0.0103284580757068,
qwen_base,qwen,base,reader,valence,0.0135897481134864,0.0137552069922406,-0.0001654588787541,-0.0162207962024652,-0.1047132142251991,0.916863975818364,0.9464402331028272
qwen_base,qwen,base,self,valence,0.0105806814327637,0.0131053817541793,-0.0025247003214156,-0.3031364569088744,-1.90527807719394,0.0605799977905653,0.0923123775856233
qwen_base,qwen,base,writer,arousal,0.0178467268944209,0.0087784338220292,0.0090682930723917,0.83903606690772,6.298603300815297,4.053617489691925e-09,
qwen_base,qwen,base,reader,arousal,0.0203780022486271,0.0092188925959126,0.0111591096527145,0.9597560630185812,7.569250497865467,2.66650056591778e-12,8.532801810936895e-11
qwen_base,qwen,base,self,arousal,0.0152652755270521,0.0086611544035128,0.0066041211235393,0.7235600451582563,5.50471275003458,1.7055275084572918e-07,1.8192293423544443e-06
qwen_base,qwen,base,writer,dominance,0.0173556676962779,0.0060475263418483,0.0113081413544296,1.1084035526297518,9.317145545075988,1.8335702395445038e-17,
qwen_base,qwen,base,reader,dominance,0.0148299782108438,0.0054074084469007,0.009422569763943,1.0714228501573242,9.297955438511645,1.2517428563035165e-17,
qwen_base,qwen,base,self,dominance,0.0190170349150028,0.0055153806369315,0.0135016542780712,1.2744597803211253,10.761038707531045,8.63543043245492e-22,
qwen_instruct,qwen,instruct,writer,valence,0.0355298562338568,0.0282102305894818,0.0073196256443749,0.2899682018452553,1.8912603647894703,0.062086268602518,
qwen_instruct,qwen,instruct,reader,valence,0.0483738180635407,0.0260594798429807,0.0223143382205599,0.7403886243034989,5.447952266652541,2.649945178271315e-07,2.119956142617052e-06
qwen_instruct,qwen,instruct,self,valence,0.0294682989357364,0.0233823412050461,0.0060859577306902,0.2730310808774619,1.843802770661296,0.0684384296634488,0.0995468067831983
qwen_instruct,qwen,instruct,writer,arousal,0.0481050168356719,0.0465643675506297,0.0015406492850421,0.0466268775345036,0.3193226118288453,0.7501761765153626,
qwen_instruct,qwen,instruct,reader,arousal,0.0779551508052225,0.0534630106718632,0.0244921401333592,0.5811350981572133,4.272099952779671,3.841470359352761e-05,0.0001365856127769
qwen_instruct,qwen,instruct,self,arousal,0.0437333426700923,0.0434573046347562,0.0002760380353361,0.0089255066841151,0.0615298449242666,0.9510625574118188,0.9510625574118188
qwen_instruct,qwen,instruct,writer,dominance,0.0126511128057092,0.0151724947390582,-0.002521381933349,-0.2208689342912018,-1.3527312653688792,0.1804765012768969,
qwen_instruct,qwen,instruct,reader,dominance,0.0162207938622781,0.0175936563725767,-0.0013728625102986,-0.1066384055472562,-0.6737295611334054,0.5025283755676739,
qwen_instruct,qwen,instruct,self,dominance,0.0158425584484648,0.0207644937851085,-0.0049219353366437,-0.336539292279668,-2.0279701597359603,0.0465021656025898,
