model,task,task_label,dimension,dim_label,n,r_continuous,p_continuous,rho_continuous,r_greedy,p_greedy,mae,rmse,pred_mean,pred_std,human_mean,human_std
llama_base,reader,Reader-Response Prediction (R),V,Valence,1000,0.07643348220611608,0.01562525363784021,0.1346353951346242,,,0.9748290092587274,1.0648582262816588,3.9443727408492277,0.1673263634129331,2.9781999999999997,0.42823937231412995
llama_base,reader,Reader-Response Prediction (R),A,Arousal,1000,0.09848521517549359,0.001820434720444479,0.08996685831314415,,,1.2325463426749959,1.2793454461463662,4.282996342674997,0.17413433825209587,3.0504499999999997,0.3129969608478651
llama_base,reader,Reader-Response Prediction (R),D,Dominance,1000,0.03481358013304533,0.2713937586282459,0.037736577665043125,,,0.9679917998801846,1.0190765019480696,4.009535805373846,0.15835788266065978,3.04292,0.28680284796354444
llama_base,self,Self-Report (S),V,Valence,1000,0.09076788306667814,0.004070136977273259,0.14591198437919278,,,1.004783821527141,1.0951038872362646,3.975409791998891,0.19035338731975468,2.9781999999999997,0.42823937231412995
llama_base,self,Self-Report (S),A,Arousal,1000,0.06526533386176023,0.03906609117324395,0.06582659529720128,,,1.300421087714781,1.3474051667120635,4.350871087714781,0.18430548083366405,3.0504499999999997,0.3129969608478651
llama_base,self,Self-Report (S),D,Dominance,1000,0.02642917886003319,0.40379398049933146,0.0263583888217656,,,1.1076073813262965,1.1549917292768896,4.149975757157112,0.16955226847931004,3.04292,0.28680284796354444
llama_instruct,writer,Writer-State Estimation (W),V,Valence,1000,-0.053808442241399086,0.08900378496824721,-0.049411176929905015,-0.006870679631359604,0.8282077335657484,3.254649541473877,3.306079610550156,6.231069541473877,0.4570369621271436,2.97642,0.33476914971364974
llama_instruct,writer,Writer-State Estimation (W),A,Arousal,1000,0.17815517115763005,1.410163646940017e-08,0.10879100681820952,0.07388793479552333,0.019448853704872284,0.8439436375418802,1.0404632643806733,3.8331229268360896,0.6263155765118225,3.0173400000000004,0.30456119976123025
llama_instruct,writer,Writer-State Estimation (W),D,Dominance,1000,0.1317592485939359,2.9200130823577792e-05,0.12492061804414371,0.08978545799370075,0.004490820278802437,1.2695746558078513,1.4260435190816592,4.352390244818325,0.6512332588859711,3.09162,0.25108280626120144
llama_instruct,reader,Reader-Response Prediction (R),V,Valence,1000,-0.09271879322562734,0.0033388950736840425,-0.0895437975651734,-0.01557826575928906,0.6226898397216143,3.31949541479194,3.3900416687383363,6.29769541479194,0.5002203613237484,2.9781999999999997,0.42823937231412995
llama_instruct,reader,Reader-Response Prediction (R),A,Arousal,1000,0.30207435959579093,1.520389502433898e-22,0.2501489903064479,0.16760054820025094,9.760987640691015e-08,0.7600752827178952,0.9856986735581308,3.7447145083064135,0.7274551124935867,3.0504499999999997,0.3129969608478651
llama_instruct,reader,Reader-Response Prediction (R),D,Dominance,1000,0.20792585121426685,3.1439689874174654e-11,0.19105733213379553,0.08549049620491607,0.006830046367420553,1.1722474399851555,1.3553270842374254,4.192604565136921,0.720267674607613,3.04292,0.28680284796354444
llama_instruct,self,Self-Report (S),V,Valence,1000,-0.21214535216389963,1.2225327744048592e-11,-0.20482950904808883,-0.1687530461152246,7.947776150313798e-08,3.1251637521904096,3.2235887333200126,6.103363752190409,0.5797778956271401,2.9781999999999997,0.42823937231412995
llama_instruct,self,Self-Report (S),A,Arousal,1000,0.2112556651580168,1.4944335019110997e-11,0.14953912170321199,0.13692005842267327,1.3936793874566293e-05,0.9372793909880799,1.1306803882648286,3.959212516527687,0.6652833785107836,3.0504499999999997,0.3129969608478651
llama_instruct,self,Self-Report (S),D,Dominance,1000,0.24720799177354286,2.1731916548650908e-15,0.23181283651510226,0.11124867049922998,0.00042422271705381935,1.3440761434675155,1.5180575156092433,4.376125100444382,0.7415963933889653,3.04292,0.28680284796354444
olmo_base,writer,Writer-State Estimation (W),V,Valence,1000,0.06263123351874544,0.047698976380049524,0.06490551152304178,-0.005001355325954649,0.8744883810830314,0.6834223789696416,0.8367702978016841,3.532946589897445,0.5490123794603489,2.97642,0.33476914971364974
olmo_base,writer,Writer-State Estimation (W),A,Arousal,1000,-0.03196304741810643,0.3126131018960143,-0.05762246806379258,0.01719971112190953,0.586949053561374,0.8280449505887489,0.9182150628199712,3.8341303878145876,0.2788993272338055,3.0173400000000004,0.30456119976123025
olmo_base,writer,Writer-State Estimation (W),D,Dominance,1000,-0.019428063217290095,0.5394408079912957,-0.02951684986685053,-0.010504742917119636,0.7400532599486149,0.8689074883502762,0.9530873044111042,3.9502731910853934,0.32386398463346355,3.09162,0.25108280626120144
olmo_base,reader,Reader-Response Prediction (R),V,Valence,1000,0.054973579783722776,0.08228890317224578,0.04853129229000127,0.002278870397610899,0.9426224632198734,0.615356556418483,0.7560049146527894,3.1120305475873598,0.6324737639756534,2.9781999999999997,0.42823937231412995
