layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp,fdr_q_joint_168_iso,fdr_q_joint_168_perp,fdr_sig_joint_168
3,attn,False,0.0064672269351673,-1.4907551774667205,0.0073422850615064,0.0082397973117594,-1.6551426779202814,0.9523809523809524,0.007311167020272,0.000509889628467,-1.3212936869332952,0.8571428571428571,0.0072940678435516,0.0006257813206565,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876544,False,0.9863013698630136,False,0.9876543209876543,0.9876543209876543,False
3,resid,False,0.0078513066659778,-2.0578462172007104,0.0123324224092389,0.0110773300347808,0.8262485245427404,0.238095238095238,0.0073751267108763,0.0005763156495377,1.058371504909416,0.1904761904761904,0.0072578121326511,0.0005607620108568,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
4,mlp,False,0.0065081211285421,-1.1808861238109516,0.0105219293756512,0.0097356345870795,-1.901498518740233,1.0,0.0073539770317167,0.0004448364775666,-1.6814119680498398,0.9047619047619048,0.0073824489875945,0.0005199962148874,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,0.987012987012987,False,1.0,0.9876543209876543,False
4,attn,False,0.0069997031471901,-1.2555903161317912,0.0089462772137134,0.0081657366027433,-0.2023070034712795,0.5714285714285714,0.0071283650326268,0.0006359734622579,-0.1630294678430195,0.5238095238095238,0.0070820010784356,0.0005048040230658,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
4,resid,False,0.0075517262438474,-2.57516756862247,0.0108385394972399,0.0093919906940037,1.0740214915463069,0.1904761904761904,0.0071522142545902,0.0003719776488661,0.3329766022957439,0.3809523809523809,0.007340393629209,0.0006346770709452,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
5,mlp,False,0.0072199809812391,-3.272676575093305,0.0111868426735694,0.0089942441279768,0.0110505661436443,0.5714285714285714,0.0072126695133451,0.0006616374038175,0.1667332185785675,0.4761904761904761,0.0071529434371388,0.0004020647155486,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
5,attn,False,0.007552185112879,-3.122670557251108,0.0090619286481952,0.0084108527164,0.7670155545111434,0.238095238095238,0.0071350806324171,0.0005438018538328,0.6896497282686403,0.2857142857142857,0.0071091881189025,0.0006423507119891,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
5,resid,False,0.007008985494486,-1.0955790637442628,0.0109117962120678,0.0087113215726257,-0.3941888772314793,0.7619047619047619,0.0072332106354904,0.0005688266563459,-0.1419151494929286,0.5238095238095238,0.007108062097602,0.0006981397227147,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.9343065693430657,0.897196261682243,False
6,mlp,False,0.0081573903524116,-2.5119475134744507,0.0084481152472523,0.0090708313618512,1.6474140608026635,0.0476190476190476,0.0071831933875582,0.0005913491866026,2.1290343618035634,0.0476190476190476,0.0071251622094927,0.0004848339516909,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
6,attn,False,0.006793962447675,-1.5271756504612608,0.0089638324894247,0.0082301545154525,-1.0162108623718016,0.8571428571428571,0.007161636312932,0.0003618086352657,-1.053636965448313,0.8095238095238095,0.0071762065297386,0.0003627853754172,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876544,False,0.9714285714285714,False,0.9876543209876543,0.9784172661870504,False
